Orientation,Slice1,Slice2,Slice3,Slice4,Slice5,Slice6,Slice7,Slice8,Slice9,Slice10,Slice11,Slice12,Slice13,Slice14,Slice15,Slice16,Slice17,Slice18,Slice19,Slice20,Slice21,Slice22,Slice23,Slice24,Slice25,Slice26,Slice27,Slice28,Slice29,Slice30,Slice31,Slice32,Slice33,Slice34,Slice35,Slice36,Slice37,Slice38,Slice39,Slice40,Slice41,Slice42,Slice43,Slice44,Slice45,Slice46,Slice47,Slice48,Slice49,Slice50,Slice51,Slice52,Slice53,Slice54,Slice55,Slice56,Slice57,Slice58,Slice59,Slice60,Slice61,Slice62,Slice63,Slice64,Slice65,Slice66,Slice67,Slice68,Slice69,Slice70,Slice71,Slice72,Slice73,Slice74,Slice75,Slice76,Slice77,Slice78,Slice79,Slice80,Slice81,Slice82,Slice83,Slice84,Slice85,Slice86,Slice87,Slice88,Slice89,Slice90,Slice91,Slice92,Slice93,Slice94,Slice95,Slice96,Slice97,Slice98,Slice99,Slice100,Slice101,Slice102,Slice103,Slice104,Slice105,Slice106,Slice107,Slice108,Slice109,Slice110,Slice111,Slice112,Slice113,Slice114,Slice115,Slice116,Slice117,Slice118,Slice119,Slice120,Slice121,Slice122,Slice123,Slice124,Slice125,Slice126,Slice127,Slice128,Slice129,Slice130,Slice131,Slice132,Slice133,Slice134,Slice135,Slice136,Slice137,Slice138,Slice139,Slice140,Slice141,Slice142,Slice143,Slice144,Slice145,Slice146,Slice147,Slice148,Slice149,Slice150,Slice151,Slice152,Slice153,Slice154,Slice155,Slice156,Slice157,Slice158,Slice159,Slice160,Slice161
-89.500,9,16,9,0,0,12,16,2,28,0,0,0,2,0,1,0,0,32,0,0,0,4,8,9,0,11,3,0,0,0,7,5,0,9,8,12,7,0,0,7,9,10,4,18,1,0,3,7,0,3,4,0,2,0,0,8,1,2,4,6,3,7,0,0,6,6,12,27,0,0,19,3,2,8,5,0,0,8,10,4,0,0,10,7,24,0,8,0,0,0,5,4,0,9,55,0,7,15,7,31,0,0,0,0,0,0,21,0,1,2,0,7,0,0,0,15,0,0,7,14,13,27,41,12,0,0,0,0,0,0,0,0,0,0,0,7,0,9,3,0,12,5,3,5,8,0,11,0,0,0,0,0,0,0,0,0,0,24,0,2,19
-88.500,2,19,7,0,0,15,16,14,32,0,0,0,2,0,1,0,0,40,0,0,0,2,6,12,0,9,4,0,0,0,10,7,0,4,7,4,7,0,0,2,6,5,5,18,1,0,3,5,0,3,4,0,7,0,0,5,3,2,1,4,3,4,0,0,4,5,11,61,0,0,14,5,0,6,4,0,0,9,12,1,0,0,7,4,19,0,7,0,0,0,9,0,0,16,44,0,9,16,0,31,0,0,2,0,0,0,34,1,2,1,0,13,0,0,0,21,2,0,8,17,12,30,32,16,0,1,0,0,0,0,0,0,0,0,0,12,0,1,0,0,12,6,4,4,12,0,5,0,0,0,0,0,0,2,0,0,0,30,0,1,14
-87.500,9,21,0,0,0,17,11,2,31,0,2,0,1,0,1,0,0,28,0,0,0,6,6,20,0,11,3,0,0,0,8,12,0,6,6,11,4,0,0,5,11,7,5,16,4,0,4,5,0,4,4,0,7,0,0,5,4,9,12,6,3,6,0,0,6,6,7,44,0,0,7,2,0,5,1,0,0,10,15,2,0,1,16,7,24,0,15,0,0,0,3,0,0,14,24,0,9,10,0,29,6,0,1,0,0,0,41,4,2,0,0,5,0,0,0,9,3,0,7,20,12,70,2,12,0,2,0,0,0,0,0,0,0,0,0,11,0,8,2,21,10,7,6,8,8,0,0,0,0,0,0,0,0,0,0,0,0,22,0,5,18
-86.500,4,24,0,0,0,13,13,1,36,0,1,0,0,10,3,0,0,27,0,0,0,5,8,5,0,8,1,0,0,0,8,6,0,4,9,12,2,0,0,5,11,6,6,19,4,0,7,9,0,8,6,0,5,0,0,8,4,2,12,2,7,8,0,0,3,6,12,44,0,0,7,4,1,7,4,0,0,11,15,3,0,3,11,4,20,0,19,0,0,0,6,1,0,13,14,0,14,13,0,19,11,0,1,0,0,0,35,1,3,3,0,9,0,0,0,4,3,0,10,21,11,50,0,16,0,0,0,0,30,0,0,0,0,0,0,9,1,3,13,16,12,7,5,5,16,0,0,0,0,0,0,0,0,1,0,0,0,16,0,1,12
-85.500,5,26,0,0,0,15,14,3,11,0,4,0,1,8,2,0,0,26,0,0,0,3,8,15,0,7,0,0,0,0,7,9,0,4,6,2,4,0,0,4,9,4,8,17,0,7,2,6,0,6,5,0,4,0,0,5,4,5,24,4,7,2,0,0,5,5,6,43,0,0,4,6,2,8,4,0,0,21,15,1,0,0,13,8,23,0,20,0,0,0,8,6,0,3,8,0,18,11,0,15,11,0,2,0,0,0,31,1,2,2,0,19,0,0,0,2,4,0,13,19,14,48,0,12,0,0,0,0,23,0,0,0,0,0,0,11,5,10,19,14,13,6,3,9,31,0,0,0,0,0,0,0,0,1,0,0,0,22,5,0,16
-84.500,5,50,0,0,0,14,19,12,8,0,3,0,1,9,1,0,0,22,0,0,0,7,5,9,0,5,8,0,0,0,5,20,0,14,7,17,0,0,0,1,17,4,10,19,1,6,4,10,0,8,4,0,5,0,0,6,5,7,17,2,14,5,0,0,3,7,10,57,0,0,9,5,1,4,1,0,0,20,17,2,0,0,11,7,28,0,17,0,0,0,4,0,0,10,11,0,10,7,6,15,9,0,1,0,0,0,19,2,3,1,0,15,0,0,0,4,6,0,31,13,10,49,0,16,0,0,0,0,23,0,0,0,0,0,0,11,2,3,18,13,18,5,5,13,62,0,0,0,0,0,0,0,0,0,0,0,0,19,15,0,11
-83.500,2,13,0,0,0,17,18,2,6,0,2,0,2,7,6,0,0,31,0,0,0,8,11,6,0,6,4,0,0,0,3,10,0,3,5,3,2,0,0,6,15,12,2,16,0,6,2,8,0,6,7,0,4,0,0,9,5,6,18,2,12,5,0,0,6,6,5,27,0,0,5,6,0,8,4,0,0,19,24,3,0,0,11,8,33,0,23,0,0,0,8,0,0,4,10,0,19,10,0,13,12,0,1,0,0,0,21,2,3,3,0,17,0,0,0,3,4,0,16,21,13,35,0,19,0,2,0,0,15,0,0,0,0,0,6,5,4,5,17,9,25,7,9,13,59,0,0,0,0,0,0,0,0,2,0,0,0,16,20,0,10
-82.500,6,8,0,0,0,13,25,2,5,0,4,0,1,11,1,7,0,17,0,0,0,8,7,20,0,7,0,0,0,0,3,18,0,4,8,4,1,0,0,5,18,3,0,18,4,8,2,14,0,9,7,0,6,0,4,5,7,8,24,1,6,4,0,0,5,3,2,10,0,0,8,7,1,5,3,0,0,22,28,2,0,0,11,10,25,2,21,0,0,0,7,5,0,10,3,0,41,6,0,13,7,0,3,0,0,0,19,1,4,3,0,14,0,0,0,0,4,0,11,17,12,42,0,16,0,2,0,0,18,0,0,0,0,0,17,13,3,4,22,12,17,4,6,18,7,0,0,0,0,0,0,0,0,1,0,0,0,18,19,0,12
-81.500,6,10,0,0,0,13,22,7,6,0,5,0,0,8,3,0,0,27,0,0,0,6,10,8,0,13,0,0,0,0,4,28,0,10,5,5,2,0,0,3,17,4,0,25,0,5,9,15,0,9,7,0,7,0,3,6,7,9,8,0,5,1,0,0,3,9,9,13,0,0,11,11,2,8,3,0,0,28,35,1,0,1,11,13,15,2,21,0,0,0,6,3,0,5,5,0,6,5,0,18,12,0,2,0,0,0,14,2,4,4,0,21,0,0,0,0,5,0,8,10,14,36,0,19,0,0,0,0,11,0,0,0,0,0,16,10,3,8,17,12,25,5,5,9,4,0,0,0,0,0,0,0,0,0,0,0,0,14,13,0,9
-80.500,2,9,0,0,0,17,39,7,5,0,5,0,1,11,6,0,0,27,0,0,0,9,8,19,0,6,12,0,0,0,4,22,2,8,8,3,0,0,0,2,24,9,0,20,1,7,1,16,0,4,9,0,1,0,5,5,6,11,20,0,6,4,0,0,4,9,4,6,0,0,12,9,1,4,1,0,0,22,33,0,0,3,12,32,16,3,22,0,0,0,6,0,0,5,4,0,12,8,0,19,9,0,5,2,1,0,18,3,5,3,0,21,0,0,0,0,5,0,8,22,12,49,0,15,0,1,0,0,18,2,0,0,0,0,16,6,4,13,31,7,28,5,11,16,5,0,0,0,0,0,0,0,0,1,0,0,0,17,21,0,13
