Orientation,Slice1,Slice2,Slice3,Slice4,Slice5,Slice6,Slice7,Slice8,Slice9,Slice10,Slice11,Slice12,Slice13,Slice14,Slice15,Slice16,Slice17,Slice18,Slice19,Slice20,Slice21,Slice22,Slice23,Slice24,Slice25,Slice26,Slice27,Slice28,Slice29,Slice30,Slice31,Slice32,Slice33,Slice34,Slice35,Slice36,Slice37,Slice38,Slice39,Slice40,Slice41,Slice42,Slice43,Slice44,Slice45,Slice46,Slice47,Slice48,Slice49,Slice50,Slice51,Slice52,Slice53,Slice54,Slice55,Slice56,Slice57,Slice58,Slice59,Slice60,Slice61,Slice62,Slice63,Slice64,Slice65,Slice66,Slice67,Slice68,Slice69,Slice70,Slice71,Slice72,Slice73,Slice74,Slice75,Slice76,Slice77,Slice78,Slice79,Slice80,Slice81,Slice82,Slice83,Slice84,Slice85,Slice86,Slice87,Slice88,Slice89,Slice90,Slice91,Slice92,Slice93,Slice94,Slice95,Slice96,Slice97,Slice98,Slice99,Slice100,Slice101,Slice102,Slice103,Slice104,Slice105,Slice106,Slice107,Slice108,Slice109,Slice110,Slice111,Slice112,Slice113,Slice114,Slice115,Slice116,Slice117,Slice118,Slice119,Slice120,Slice121,Slice122,Slice123,Slice124,Slice125,Slice126,Slice127,Slice128,Slice129,Slice130,Slice131,Slice132,Slice133,Slice134,Slice135,Slice136,Slice137,Slice138,Slice139,Slice140,Slice141,Slice142,Slice143,Slice144,Slice145,Slice146,Slice147,Slice148,Slice149,Slice150,Slice151,Slice152,Slice153,Slice154,Slice155,Slice156,Slice157,Slice158,Slice159,Slice160,Slice161,Slice162,Slice163
-89.500,0,4,6,5,8,0,3,0,0,2,0,3,13,0,6,0,0,0,0,2,7,33,3,0,2,9,0,0,0,0,0,2,7,7,7,3,0,61,1,0,0,0,2,2,3,0,11,7,26,0,1,3,10,4,0,7,1,1,3,6,0,5,3,0,0,0,13,0,8,0,0,10,7,0,0,0,0,0,0,0,0,0,0,2,1,5,2,6,9,0,0,0,0,8,2,0,27,0,0,0,32,3,5,0,7,0,2,0,0,0,0,0,7,1,0,3,27,0,0,4,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,2,14,2,1,1,8,0,0,4,0,3,0,1,0,0,0,0,0,0,5,0,1,0,0,2,9,0
-88.500,0,4,10,6,2,0,2,0,0,1,0,5,6,0,11,0,0,0,0,1,3,33,7,1,1,8,0,0,0,0,0,0,5,7,3,2,0,46,1,0,0,0,3,4,3,2,1,5,34,0,3,3,16,4,0,1,4,2,6,1,0,8,2,0,0,0,9,0,9,0,0,5,8,0,0,0,0,0,0,0,0,0,0,5,1,4,2,11,9,0,0,0,0,5,3,2,22,0,0,0,21,1,3,0,5,0,3,0,0,1,0,0,6,3,0,4,29,0,0,6,2,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,1,23,6,3,1,5,0,0,5,0,6,0,0,0,0,0,6,0,0,4,0,5,0,0,8,10,0
-87.500,0,5,12,4,5,0,1,0,0,1,0,8,14,0,14,0,0,0,0,1,4,21,2,2,0,2,0,0,0,0,0,1,8,6,2,6,0,42,3,0,0,0,2,5,1,1,6,4,33,0,3,2,9,2,0,1,5,11,6,1,0,5,4,0,1,0,15,0,7,0,0,7,9,0,0,0,0,0,0,0,0,0,0,6,0,5,4,33,11,0,0,0,0,9,1,0,22,0,0,4,17,5,4,0,3,0,0,0,0,0,0,1,7,2,0,1,19,0,0,5,2,2,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,22,3,4,2,11,36,0,6,0,11,0,1,0,0,0,5,0,0,14,0,4,0,0,5,12,3
-86.500,0,5,13,5,6,0,4,0,0,0,0,3,14,1,7,0,4,0,0,3,4,17,7,2,0,0,0,0,0,0,0,0,6,8,3,4,0,40,5,0,0,0,4,6,0,2,8,2,24,0,2,0,14,3,0,7,10,1,7,9,0,8,6,0,8,1,7,0,0,0,0,11,4,0,0,0,0,0,0,0,0,0,0,8,0,5,1,18,9,0,0,0,2,5,1,0,14,0,0,6,17,2,5,0,8,0,2,0,0,3,0,1,8,4,0,3,35,0,0,3,3,0,0,0,0,0,0,0,15,0,3,0,0,0,0,0,2,26,8,2,0,5,38,0,1,0,6,0,0,0,0,0,4,0,0,11,0,5,0,0,9,12,0
-85.500,0,6,27,8,3,0,3,0,0,1,0,3,9,2,10,0,1,0,0,0,3,20,10,1,0,0,4,3,0,0,0,0,7,1,5,4,0,36,1,0,0,0,2,13,4,1,2,4,26,0,2,0,16,4,0,2,14,7,5,3,0,4,9,0,25,2,13,4,0,0,0,12,5,0,0,0,0,0,0,0,0,0,0,47,1,3,2,13,12,0,0,0,3,10,3,3,19,0,0,12,17,3,5,0,7,0,2,0,0,0,0,1,5,1,3,5,31,0,0,2,0,1,0,0,0,0,0,0,6,0,4,0,0,0,0,0,1,26,5,1,0,9,3,0,0,0,7,0,2,0,0,0,7,0,0,4,0,2,0,0,6,15,0
-84.500,0,8,61,8,4,0,3,2,0,1,0,5,14,4,9,0,0,0,0,1,2,13,14,0,2,0,0,0,0,0,0,0,7,3,3,7,0,32,1,0,0,0,5,15,3,0,8,2,25,0,4,0,10,3,0,2,26,9,7,4,0,7,2,0,16,0,11,2,0,0,0,11,9,0,0,0,0,0,0,0,0,0,0,98,1,4,2,13,9,0,0,0,8,6,0,0,20,0,0,13,12,4,1,0,11,0,1,0,0,3,0,2,9,1,0,2,15,0,0,2,1,2,0,0,0,1,0,0,6,0,6,0,0,0,0,0,1,35,14,3,0,7,0,0,0,0,13,0,1,0,0,0,9,0,0,5,0,1,0,0,15,16,0
-83.500,0,6,55,10,4,0,6,8,0,2,0,8,10,12,9,0,0,0,0,4,3,11,16,0,1,0,0,0,0,0,0,0,8,1,3,4,0,28,8,0,0,0,5,13,1,1,6,0,15,0,5,0,17,3,0,6,15,7,7,3,0,4,4,0,16,0,7,2,0,0,0,10,6,0,0,0,0,0,0,0,0,0,0,39,0,7,3,11,9,0,0,0,10,3,1,2,17,0,0,21,11,11,7,0,9,0,3,0,0,0,0,1,8,3,0,4,20,0,0,0,3,0,0,0,0,2,0,0,3,0,20,0,0,0,0,0,1,45,8,3,0,6,0,0,0,0,9,0,1,0,0,0,17,0,0,9,0,1,0,0,9,15,0
-82.500,0,10,14,6,6,0,6,10,0,1,0,4,12,10,3,0,0,0,0,2,3,12,22,0,0,0,0,0,0,0,0,0,9,2,6,9,0,25,8,0,0,0,5,10,2,0,9,1,0,0,5,1,18,3,0,3,10,11,8,3,0,8,3,0,17,0,13,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,36,1,8,1,12,10,0,0,0,10,13,1,1,8,0,0,35,12,11,4,0,7,0,1,0,0,2,0,1,5,2,0,5,14,0,0,0,1,4,0,0,0,0,0,0,4,0,15,0,0,0,0,0,0,46,16,2,0,6,0,0,0,0,13,0,2,0,0,0,10,0,0,16,0,1,0,0,6,20,0
-81.500,0,9,11,13,2,0,9,13,0,4,0,4,17,8,14,0,4,0,0,4,3,13,9,0,1,0,4,0,0,0,0,0,7,2,4,7,0,27,3,0,0,0,4,10,3,2,5,0,0,0,10,0,12,7,0,1,21,15,8,4,0,4,3,0,18,0,13,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,8,1,6,1,11,11,0,0,0,19,4,3,3,15,0,0,78,11,10,5,0,6,0,2,0,0,2,0,2,10,4,0,2,18,0,0,0,3,0,0,0,0,0,0,0,2,0,10,0,0,0,0,0,0,36,16,3,0,8,1,0,0,0,10,0,0,0,0,0,7,0,0,5,0,5,0,0,6,22,0
-80.500,0,11,12,11,5,0,7,14,0,9,0,6,14,8,5,6,1,0,0,1,2,10,6,0,0,0,2,4,0,0,0,0,9,2,5,12,0,31,12,0,0,2,8,3,1,2,12,0,0,0,10,2,17,7,0,7,4,10,10,2,0,7,2,0,19,0,13,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,11,0,4,3,6,9,0,0,0,17,5,1,1,9,0,0,75,12,11,8,0,4,0,2,0,0,0,0,5,7,2,0,4,4,0,0,0,1,4,0,0,0,0,1,0,4,0,9,0,0,0,0,0,0,63,22,4,0,5,13,0,0,0,28,0,3,0,0,0,9,0,0,9,0,10,0,0,5,23,0
