Orientation,Slice1,Slice2,Slice3,Slice4,Slice5,Slice6,Slice7,Slice8,Slice9,Slice10,Slice11,Slice12,Slice13,Slice14,Slice15,Slice16,Slice17,Slice18,Slice19,Slice20,Slice21,Slice22,Slice23,Slice24,Slice25,Slice26,Slice27,Slice28,Slice29,Slice30,Slice31,Slice32,Slice33,Slice34,Slice35,Slice36,Slice37,Slice38,Slice39,Slice40,Slice41,Slice42,Slice43,Slice44,Slice45,Slice46,Slice47,Slice48,Slice49,Slice50,Slice51,Slice52,Slice53,Slice54,Slice55,Slice56,Slice57,Slice58,Slice59,Slice60,Slice61,Slice62,Slice63,Slice64,Slice65,Slice66,Slice67,Slice68,Slice69,Slice70,Slice71,Slice72,Slice73,Slice74,Slice75,Slice76,Slice77,Slice78,Slice79,Slice80,Slice81,Slice82,Slice83,Slice84,Slice85,Slice86,Slice87,Slice88,Slice89,Slice90,Slice91,Slice92,Slice93,Slice94,Slice95,Slice96,Slice97,Slice98,Slice99,Slice100,Slice101,Slice102,Slice103,Slice104,Slice105,Slice106,Slice107,Slice108,Slice109,Slice110,Slice111,Slice112,Slice113,Slice114,Slice115,Slice116,Slice117,Slice118,Slice119,Slice120,Slice121,Slice122,Slice123,Slice124,Slice125,Slice126,Slice127,Slice128,Slice129,Slice130,Slice131,Slice132,Slice133,Slice134,Slice135,Slice136,Slice137,Slice138,Slice139,Slice140,Slice141,Slice142,Slice143,Slice144,Slice145,Slice146,Slice147,Slice148,Slice149,Slice150,Slice151,Slice152,Slice153,Slice154,Slice155,Slice156,Slice157,Slice158,Slice159,Slice160,Slice161,Slice162,Slice163,Slice164,Slice165,Slice166,Slice167,Slice168,Slice169,Slice170,Slice171,Slice172,Slice173,Slice174,Slice175,Slice176,Slice177,Slice178,Slice179,Slice180,Slice181,Slice182,Slice183,Slice184,Slice185
-89.500,2,0,0,17,3,5,0,0,0,5,0,27,11,0,0,0,1,0,3,5,0,0,0,10,0,0,0,0,11,0,0,26,3,13,0,1,9,7,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,13,1,49,11,8,33,4,8,0,21,0,8,9,3,0,27,0,9,8,16,4,10,4,0,0,0,0,4,0,0,0,0,1,2,0,0,2,3,0,0,0,7,0,5,2,0,0,0,0,0,4,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,2,14,1,4,3,0,0,50,1,8,4,0,0,0,0,0,0,0,0,11,0,0,2,0,0,45,0,4,0,0,6,0,2,0,0,0,3,6,3,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,11,15,0,3,14,3,0,1,4
-88.500,2,2,0,28,2,1,0,0,0,6,0,29,11,0,0,0,2,0,0,9,0,0,0,17,0,1,0,0,2,0,0,26,4,19,0,4,10,13,0,0,5,1,0,0,6,0,0,0,0,0,0,4,0,0,16,0,35,4,13,19,4,5,0,25,0,8,8,2,0,26,0,0,4,14,4,2,3,0,0,0,0,6,0,0,0,0,3,4,0,5,2,1,0,0,2,5,0,7,2,0,0,0,0,0,5,4,0,0,0,0,4,0,0,0,2,0,0,0,0,0,8,1,13,3,2,6,0,0,32,1,6,13,0,0,0,0,0,2,3,0,8,5,0,1,1,0,61,0,2,0,0,3,0,5,0,0,0,5,11,3,0,0,0,1,0,0,0,0,2,3,0,0,0,0,0,0,10,15,0,0,15,2,1,5,6
-87.500,1,3,0,34,4,3,0,0,0,2,0,26,12,0,0,0,2,0,2,2,0,0,0,18,0,1,0,0,2,0,0,26,7,22,0,0,18,9,0,0,1,3,0,0,7,0,0,0,0,0,0,8,0,0,12,0,37,6,9,21,3,3,0,29,0,7,8,0,0,35,0,0,9,17,2,5,6,0,0,0,0,3,0,0,0,0,7,3,0,0,3,1,0,0,0,7,0,7,3,0,0,0,0,0,6,5,0,0,0,0,2,0,0,0,2,0,0,0,0,0,5,3,17,1,4,5,0,0,26,0,9,38,0,0,0,0,0,4,0,0,12,8,0,4,2,0,43,0,1,0,0,0,0,7,0,0,0,5,7,5,0,0,0,6,0,0,2,0,1,3,0,0,0,0,0,0,13,20,0,4,14,4,1,3,4
-86.500,3,0,0,67,1,2,0,0,0,6,0,31,9,0,0,0,3,0,2,1,0,0,0,12,0,2,0,0,1,0,2,32,2,11,0,2,16,8,0,0,0,3,0,0,6,0,0,0,0,0,0,5,1,0,15,0,39,11,9,14,2,5,0,33,0,8,6,2,0,29,0,0,5,16,11,13,5,0,0,0,0,7,0,0,0,0,1,1,0,0,2,2,2,0,0,5,0,5,3,0,0,0,0,0,9,6,0,0,11,0,4,0,0,0,0,0,0,0,0,0,11,2,13,2,0,3,4,0,23,1,5,47,0,0,0,0,0,0,0,0,18,6,0,3,2,0,34,0,4,5,0,8,0,8,0,0,0,6,9,3,0,0,0,6,0,0,1,0,2,3,0,0,0,0,0,0,15,15,0,2,15,7,0,1,6
-85.500,3,0,0,70,1,1,0,0,0,6,0,30,15,0,0,0,2,0,1,1,0,0,0,16,0,0,0,0,2,0,5,37,2,8,0,2,13,3,0,0,4,2,0,0,7,0,0,0,0,0,0,5,1,0,31,0,40,5,11,11,0,8,0,44,0,11,7,3,0,49,0,10,5,17,2,6,3,0,0,0,0,5,0,0,0,0,5,1,0,0,4,2,0,0,0,7,0,5,3,0,0,0,0,0,7,0,0,0,10,0,3,0,0,0,3,0,0,0,0,0,8,1,18,0,0,5,0,0,31,2,6,56,0,0,0,0,0,0,0,0,26,7,0,0,0,0,34,0,4,0,0,6,0,12,0,0,0,6,9,7,0,0,0,3,0,0,1,0,4,5,0,0,0,0,3,0,13,16,0,2,14,6,0,6,4
-84.500,0,1,0,50,2,5,0,0,0,4,1,33,14,0,0,0,2,0,3,1,0,0,0,14,0,1,0,0,0,0,8,47,8,6,0,2,19,7,0,0,1,2,0,0,7,0,0,0,0,0,0,7,2,0,40,0,48,12,10,20,0,3,0,47,0,8,8,0,0,29,0,0,5,14,4,10,8,0,0,0,0,8,0,0,0,0,5,2,0,0,1,3,0,0,0,4,0,8,2,0,0,0,0,0,7,5,0,0,11,0,2,0,0,0,2,0,0,0,0,0,17,3,18,3,0,3,0,0,28,1,7,30,0,0,0,0,0,0,0,0,18,9,0,3,1,0,23,2,3,0,0,8,0,18,2,0,0,6,8,3,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,16,17,0,3,18,11,0,3,6
-83.500,8,2,0,59,2,0,0,0,0,8,2,30,14,0,0,0,1,0,2,4,0,0,0,16,0,0,0,0,0,0,10,52,5,9,0,3,15,4,0,0,0,1,0,0,3,0,0,0,0,0,0,7,1,0,18,0,49,7,9,5,0,4,0,62,0,7,5,0,0,16,0,0,5,15,7,6,4,0,0,0,0,11,0,0,0,0,2,3,0,2,0,1,0,0,0,7,0,5,3,0,0,0,0,0,11,6,0,0,9,0,5,0,0,0,1,0,0,0,0,0,9,3,21,1,0,6,0,0,38,0,9,22,0,0,0,0,0,5,0,0,13,10,0,2,2,0,26,0,4,0,0,11,0,30,0,0,0,9,5,6,0,0,0,6,0,0,2,0,0,7,0,0,0,0,0,0,24,16,0,3,16,9,2,5,5
-82.500,0,3,0,67,3,0,0,0,0,10,4,31,11,0,0,0,4,0,5,1,0,0,0,15,0,1,0,0,0,0,19,66,2,13,0,3,14,7,0,0,3,4,0,0,10,0,0,0,0,0,0,7,1,0,15,0,45,10,11,9,0,4,0,62,0,14,10,0,2,15,0,3,4,16,11,16,7,0,0,0,0,12,0,0,0,0,5,3,0,7,0,0,1,0,0,7,0,6,2,0,0,0,0,0,11,6,0,0,8,2,3,0,0,0,2,0,0,0,0,0,7,3,24,1,0,2,0,0,32,1,5,23,0,0,0,0,0,0,0,0,7,8,0,2,3,0,19,0,5,0,2,8,0,29,0,0,0,14,9,2,0,0,0,7,0,0,1,0,0,6,0,0,0,0,0,0,48,25,0,2,18,13,0,2,6
-81.500,7,1,0,51,5,1,0,0,0,5,5,41,9,0,0,0,3,0,6,1,0,0,0,17,0,1,0,0,0,0,33,90,7,11,0,1,20,0,0,0,0,2,0,0,11,0,0,0,0,0,0,6,5,0,17,0,52,6,10,8,0,6,0,58,0,13,6,2,5,20,0,8,4,17,3,13,6,0,0,0,2,7,0,0,2,0,5,0,0,5,0,2,0,0,2,5,0,4,3,0,0,0,0,3,9,2,0,0,12,3,4,0,0,0,2,0,0,0,0,0,5,6,18,0,0,6,0,0,33,3,5,28,0,0,0,0,0,0,0,0,10,9,0,4,0,0,24,0,3,0,0,8,0,21,2,0,0,9,5,5,0,0,0,10,0,0,1,0,0,7,0,0,0,0,0,0,36,36,0,3,17,11,0,4,4
-80.500,7,1,0,28,2,4,0,0,0,0,6,42,14,0,0,0,2,0,1,1,0,0,0,19,0,2,0,0,0,0,73,150,5,19,0,4,19,8,0,0,0,1,0,0,6,0,0,0,0,0,0,5,4,0,7,0,58,7,9,0,0,4,0,50,0,9,8,3,11,17,0,1,0,21,2,12,9,0,0,1,1,0,0,0,8,0,4,1,0,5,0,3,0,0,1,6,0,7,3,0,0,0,4,6,12,5,0,0,7,2,4,0,0,0,2,0,0,0,0,0,3,6,16,2,0,5,0,0,32,1,6,21,0,0,0,0,0,0,0,13,30,7,0,2,0,0,14,0,6,0,0,7,0,20,0,0,0,8,6,8,0,0,0,8,0,0,1,0,0,9,0,0,0,0,4,0,23,17,0,3,21,21,0,5,6
