Orientation,Slice1,Slice2,Slice3,Slice4,Slice5,Slice6,Slice7,Slice8,Slice9,Slice10,Slice11,Slice12,Slice13,Slice14,Slice15,Slice16,Slice17,Slice18,Slice19,Slice20,Slice21,Slice22,Slice23,Slice24,Slice25,Slice26,Slice27,Slice28,Slice29,Slice30,Slice31,Slice32,Slice33,Slice34,Slice35,Slice36,Slice37,Slice38,Slice39,Slice40,Slice41,Slice42,Slice43,Slice44,Slice45,Slice46,Slice47,Slice48,Slice49,Slice50,Slice51,Slice52,Slice53,Slice54,Slice55,Slice56,Slice57,Slice58,Slice59,Slice60,Slice61,Slice62,Slice63,Slice64,Slice65,Slice66,Slice67,Slice68,Slice69,Slice70,Slice71,Slice72,Slice73,Slice74,Slice75,Slice76,Slice77,Slice78,Slice79,Slice80,Slice81,Slice82,Slice83,Slice84,Slice85,Slice86,Slice87,Slice88,Slice89,Slice90,Slice91,Slice92,Slice93,Slice94,Slice95,Slice96,Slice97,Slice98,Slice99,Slice100,Slice101,Slice102,Slice103,Slice104,Slice105,Slice106,Slice107,Slice108,Slice109,Slice110,Slice111,Slice112,Slice113,Slice114,Slice115,Slice116,Slice117,Slice118,Slice119,Slice120,Slice121,Slice122,Slice123,Slice124,Slice125,Slice126,Slice127,Slice128,Slice129,Slice130,Slice131
-89.500,5,0,0,0,0,0,13,0,33,0,0,0,0,14,7,49,0,29,17,5,15,11,29,12,3,30,11,16,0,44,31,9,3,0,11,8,0,28,12,0,7,29,14,24,22,1,13,4,26,6,8,21,4,2,8,6,2,2,10,1,0,3,6,0,0,0,0,6,0,2,0,25,25,41,46,41,11,21,64,34,6,29,29,75,67,8,1,0,2,7,0,0,17,0,0,0,2,1,0,28,0,2,2,0,15,21,7,0,0,0,0,0,23,3,0,0,0,0,0,4,7,0,0,12,0,2,11,1,15,8,2
-88.500,8,0,0,0,0,0,19,0,37,0,0,0,0,12,0,43,0,35,9,4,14,9,29,14,3,40,9,18,0,33,27,13,3,0,12,12,0,19,7,0,8,20,20,20,14,0,12,5,22,8,13,32,5,1,10,8,5,3,9,0,0,3,2,0,0,0,0,8,0,2,0,29,27,42,55,27,10,18,33,31,9,40,44,69,72,7,0,1,0,5,0,0,13,0,0,6,5,1,0,6,0,3,0,0,13,18,4,25,0,0,0,0,29,0,0,7,0,0,0,1,4,0,0,10,5,5,5,5,7,8,2
-87.500,9,0,0,0,0,0,19,0,35,0,2,0,0,18,4,24,0,35,14,6,15,18,25,13,3,52,7,19,0,38,28,9,3,0,12,9,0,24,4,0,7,28,27,23,20,0,15,4,25,8,7,33,3,3,7,9,0,3,10,3,0,3,2,0,0,0,0,11,0,1,0,17,26,44,57,28,15,18,40,36,6,32,45,69,68,11,0,0,2,9,0,0,11,0,0,2,4,3,0,1,0,0,2,0,9,3,10,78,0,0,5,0,28,5,0,2,0,0,0,1,5,0,0,7,5,4,8,2,12,7,0
-86.500,8,0,0,0,0,0,26,0,32,0,0,0,0,12,3,18,0,38,12,4,10,12,23,12,7,46,9,30,0,37,33,8,2,0,13,7,0,34,2,0,6,26,18,16,19,0,10,5,26,4,10,34,2,0,12,3,0,2,10,0,0,2,2,0,0,0,0,4,0,2,0,29,31,52,49,23,12,21,45,37,11,25,34,65,49,8,7,1,5,4,0,0,6,0,0,4,2,1,0,1,1,0,1,0,17,8,5,66,0,0,4,0,23,4,0,2,0,0,0,3,4,0,0,8,5,4,7,9,8,8,1
-85.500,7,0,0,0,0,0,50,0,30,0,1,0,0,7,0,15,0,48,20,5,8,19,28,12,20,42,9,33,0,21,40,12,4,0,16,8,0,35,0,0,6,30,13,18,18,0,15,4,26,7,7,28,7,1,9,7,7,1,10,3,0,2,2,0,0,0,1,9,0,2,0,33,28,47,13,28,13,15,28,35,8,20,63,55,51,9,16,1,3,7,0,0,6,0,0,2,5,3,0,2,6,0,1,0,13,1,7,21,0,0,4,0,19,0,0,2,0,0,0,2,7,0,0,12,4,3,6,2,8,6,3
-84.500,10,0,0,0,0,0,55,0,24,0,0,0,0,22,5,10,0,45,10,11,10,19,25,14,14,69,10,32,0,9,45,13,3,0,12,5,0,36,10,0,8,16,39,16,23,0,11,3,28,6,5,25,2,1,14,4,0,1,11,0,0,3,6,0,0,0,0,5,0,2,2,28,27,44,26,32,11,27,27,40,10,21,94,82,65,9,18,0,7,8,0,0,3,0,0,2,2,2,0,7,14,0,2,0,12,6,5,15,0,0,4,0,26,0,0,3,0,0,0,1,3,0,0,8,4,5,6,6,16,8,3
-83.500,7,0,0,0,0,0,72,0,27,0,1,0,0,16,2,14,0,30,15,12,7,19,28,13,12,177,7,30,0,16,43,11,5,0,19,6,0,48,23,0,6,19,30,13,18,0,17,4,27,5,8,17,3,2,5,4,0,2,16,3,0,2,0,0,0,0,1,4,0,2,2,50,38,44,12,31,19,21,37,47,7,16,67,53,73,5,22,1,22,10,0,2,0,0,0,2,3,2,0,3,6,0,0,0,24,3,7,9,0,0,4,0,24,4,0,4,0,0,0,3,3,0,0,12,5,4,7,5,19,8,2
-82.500,7,0,0,0,0,0,30,0,15,0,2,0,0,14,0,12,0,20,17,10,6,22,1,7,10,39,11,21,0,14,36,13,3,0,26,5,0,64,23,0,4,13,42,15,22,0,20,10,32,5,8,21,5,0,8,4,2,6,11,0,0,1,3,0,0,0,4,2,0,2,3,41,37,62,19,38,16,20,25,47,16,14,47,50,67,11,14,0,22,5,0,4,0,0,0,1,3,5,0,2,7,0,0,0,18,1,7,8,0,0,4,0,32,0,0,1,0,0,0,3,12,0,0,13,4,6,8,6,21,7,0
-81.500,10,0,0,0,0,0,38,0,19,0,0,0,0,15,4,11,0,23,18,9,7,18,3,16,9,30,8,22,0,22,29,18,5,0,29,2,0,82,21,0,6,10,43,0,19,0,17,3,28,6,7,15,3,0,9,5,4,4,12,2,0,2,3,0,0,0,0,8,0,2,2,19,50,55,12,73,16,28,30,70,15,16,38,44,53,7,14,1,22,12,7,8,0,0,0,2,3,1,0,0,5,0,0,0,12,5,6,3,0,0,5,0,59,0,0,2,0,0,0,1,9,0,0,12,6,8,7,10,22,6,0
-80.500,8,1,0,0,0,0,27,0,15,0,2,0,0,18,3,12,0,21,18,8,7,25,1,9,12,32,7,18,0,23,29,19,6,0,22,9,0,62,22,0,6,19,51,0,18,0,20,6,28,3,10,18,4,0,9,5,2,4,11,1,0,0,1,0,0,0,1,5,0,1,7,19,73,59,19,56,24,23,22,60,12,15,42,38,45,7,15,1,9,15,5,16,0,0,0,3,2,4,0,5,3,0,0,0,17,0,11,4,0,0,3,0,15,0,0,2,0,0,0,3,22,0,0,12,5,7,4,10,29,7,0
