Orientation,Slice1,Slice2,Slice3,Slice4,Slice5,Slice6,Slice7,Slice8,Slice9,Slice10,Slice11,Slice12,Slice13,Slice14,Slice15,Slice16,Slice17,Slice18,Slice19,Slice20,Slice21,Slice22,Slice23,Slice24,Slice25,Slice26,Slice27,Slice28,Slice29,Slice30,Slice31,Slice32,Slice33,Slice34,Slice35,Slice36,Slice37,Slice38,Slice39,Slice40,Slice41,Slice42,Slice43,Slice44,Slice45,Slice46,Slice47,Slice48,Slice49,Slice50,Slice51,Slice52,Slice53,Slice54,Slice55,Slice56,Slice57,Slice58,Slice59,Slice60,Slice61,Slice62,Slice63,Slice64,Slice65,Slice66,Slice67,Slice68,Slice69,Slice70,Slice71,Slice72,Slice73,Slice74,Slice75,Slice76,Slice77,Slice78,Slice79,Slice80,Slice81,Slice82,Slice83,Slice84,Slice85,Slice86,Slice87,Slice88,Slice89,Slice90,Slice91,Slice92,Slice93,Slice94,Slice95,Slice96,Slice97,Slice98,Slice99,Slice100,Slice101,Slice102,Slice103,Slice104,Slice105,Slice106,Slice107,Slice108,Slice109,Slice110,Slice111
-89.500,90,177,42,104,122,134,206,183,198,174,76,60,83,65,38,47,81,56,111,124,166,58,113,103,54,46,95,129,61,100,100,109,51,156,105,21,39,21,17,23,55,17,20,14,78,7,8,7,13,3,8,12,1,47,0,7,0,10,7,0,0,0,29,0,2,0,0,3,0,0,10,6,1,0,0,0,2,9,0,17,0,2,0,1,0,35,0,0,0,3,20,0,0,0,0,6,20,8,9,12,5,0,8,0,8,0,0,9,3,10,14
-88.500,99,180,43,83,132,135,174,152,167,149,85,91,172,73,38,41,97,54,75,107,164,85,114,106,82,51,72,136,50,78,96,139,76,176,123,19,50,19,16,20,59,17,25,15,68,9,10,6,16,7,5,10,1,48,2,6,0,12,9,0,0,0,21,0,1,0,0,6,0,0,5,4,1,0,0,0,1,3,0,16,0,0,0,5,0,36,0,0,0,4,19,0,0,0,0,6,24,6,10,6,10,0,4,0,8,0,0,12,1,10,14
-87.500,107,157,52,64,133,159,181,124,145,139,89,122,174,76,53,41,98,64,68,100,182,176,91,84,73,33,76,196,47,95,119,182,82,191,74,21,37,19,26,23,61,20,35,15,46,11,10,10,13,3,9,10,4,53,0,10,0,12,6,0,0,0,14,0,1,0,0,2,0,0,3,5,1,0,0,0,0,9,0,13,0,1,0,1,0,39,0,3,0,1,6,0,0,0,0,9,30,10,10,6,9,0,3,0,8,0,0,9,4,7,23
-86.500,139,166,72,55,100,126,167,111,120,136,101,202,114,79,53,74,129,77,60,98,184,143,108,117,69,29,65,157,47,89,96,133,108,170,91,18,25,16,26,29,55,14,32,17,55,7,11,12,15,7,3,8,2,59,0,9,0,9,7,0,0,0,16,0,0,0,0,6,0,0,2,5,2,0,0,0,0,10,0,18,0,0,0,5,0,28,0,2,0,3,4,0,0,0,0,10,34,4,8,9,4,0,5,0,7,0,0,11,1,11,27
-85.500,181,100,56,54,103,153,142,63,110,128,97,180,99,89,65,62,174,63,54,78,222,74,84,131,78,37,47,148,41,124,75,131,93,171,67,30,38,18,28,40,39,22,25,22,65,8,16,7,16,3,8,5,1,35,0,8,0,12,4,0,0,0,10,5,1,0,0,3,0,0,2,7,2,0,0,0,0,6,0,31,0,1,0,1,0,19,0,1,0,5,5,0,0,0,0,12,39,17,7,5,4,0,4,0,8,0,0,12,1,4,29
-84.500,193,100,40,49,80,172,113,103,132,140,127,179,91,114,112,63,245,71,55,84,248,90,110,206,79,30,49,123,46,69,68,149,82,115,67,40,30,14,60,52,45,21,24,23,63,12,11,10,16,6,10,6,3,33,13,10,0,9,8,0,0,0,11,8,3,0,0,5,0,0,1,4,1,0,1,0,0,9,0,21,0,1,0,5,0,9,26,1,0,1,4,0,0,0,0,15,36,6,6,7,12,0,3,0,5,0,0,17,3,8,19
-83.500,119,79,46,50,86,145,88,113,134,158,144,154,80,135,153,63,215,92,51,78,249,58,61,166,75,33,44,120,48,65,64,59,71,136,72,69,29,20,35,39,47,25,30,20,60,9,11,13,14,3,7,4,2,27,12,15,0,14,8,0,0,0,12,6,2,0,0,5,0,0,0,6,2,3,0,0,0,7,0,19,0,2,0,1,0,10,34,0,0,5,7,0,0,2,0,19,55,19,6,10,3,0,5,0,7,0,0,17,1,4,26
-82.500,97,97,44,58,89,116,75,82,116,154,204,179,86,146,167,71,161,145,51,81,164,53,56,200,89,48,56,150,42,49,51,60,113,163,70,91,60,29,36,52,57,51,21,24,69,9,15,14,19,4,9,8,1,17,14,8,0,8,6,9,0,0,6,7,1,4,0,3,0,0,0,7,2,1,2,0,0,10,0,11,0,0,0,6,0,5,32,3,0,1,3,0,0,22,0,21,54,37,7,6,0,0,2,0,37,0,0,19,2,6,24
-81.500,78,86,45,50,72,103,69,88,111,248,260,177,85,83,178,79,114,108,54,72,157,43,51,238,93,52,63,132,48,63,65,53,90,154,68,72,74,41,31,48,48,23,34,27,81,10,15,14,15,5,19,5,2,14,11,12,0,13,3,5,0,0,11,2,1,3,0,6,0,0,0,9,3,3,0,0,0,17,0,15,0,0,0,1,0,9,35,1,0,2,5,0,0,7,0,45,36,24,5,9,0,0,3,0,26,0,2,14,2,7,21
-80.500,97,92,48,48,83,140,69,79,134,234,178,222,149,76,211,110,111,116,51,76,133,82,42,223,127,63,101,126,43,57,40,61,85,134,61,92,106,54,16,61,54,31,32,31,64,17,11,11,22,3,9,6,3,21,10,18,0,11,0,8,0,0,8,7,1,4,0,7,0,0,0,9,2,3,2,0,0,14,2,7,0,0,0,6,0,6,33,2,0,4,7,0,2,4,0,37,33,20,12,9,7,0,6,0,26,0,1,16,1,7,26
