Orientation,Slice1,Slice2,Slice3,Slice4,Slice5,Slice6,Slice7,Slice8,Slice9,Slice10,Slice11,Slice12,Slice13,Slice14,Slice15,Slice16,Slice17,Slice18,Slice19,Slice20,Slice21,Slice22,Slice23,Slice24,Slice25,Slice26,Slice27,Slice28,Slice29,Slice30,Slice31,Slice32,Slice33,Slice34,Slice35,Slice36,Slice37,Slice38,Slice39,Slice40,Slice41,Slice42,Slice43,Slice44,Slice45,Slice46,Slice47,Slice48,Slice49,Slice50,Slice51,Slice52,Slice53,Slice54,Slice55,Slice56,Slice57,Slice58,Slice59,Slice60,Slice61,Slice62,Slice63,Slice64,Slice65,Slice66,Slice67,Slice68,Slice69,Slice70,Slice71,Slice72,Slice73,Slice74,Slice75,Slice76,Slice77,Slice78,Slice79,Slice80,Slice81,Slice82,Slice83,Slice84,Slice85,Slice86,Slice87,Slice88,Slice89,Slice90,Slice91,Slice92,Slice93,Slice94,Slice95,Slice96,Slice97,Slice98,Slice99,Slice100,Slice101,Slice102,Slice103,Slice104,Slice105,Slice106,Slice107,Slice108,Slice109,Slice110,Slice111,Slice112,Slice113,Slice114,Slice115,Slice116,Slice117,Slice118,Slice119,Slice120,Slice121,Slice122,Slice123,Slice124,Slice125,Slice126,Slice127,Slice128,Slice129,Slice130,Slice131,Slice132
-89.500,4,0,4,29,47,45,10,8,6,14,25,2,15,5,23,7,1,2,13,10,0,21,0,3,17,6,14,7,3,0,5,9,0,0,1,16,2,3,2,0,0,0,0,8,1,17,4,1,30,32,10,2,0,2,6,0,48,0,19,2,11,15,3,31,6,16,13,0,0,9,2,26,8,5,11,0,15,2,1,54,6,8,3,18,18,22,24,2,8,7,4,31,4,9,47,6,5,0,0,18,0,1,1,1,5,0,0,0,0,0,2,0,0,0,38,0,1,0,1,0,72,0,0,7,0,0,8,0,5,0,2,0
-88.500,7,0,6,41,37,20,8,9,10,12,34,2,25,9,32,9,2,7,16,6,0,26,0,1,50,5,27,7,8,0,3,9,0,0,0,14,0,4,5,0,0,0,0,3,0,20,1,5,16,28,8,4,0,0,7,0,60,0,15,1,10,12,4,29,5,8,37,0,2,16,2,29,5,14,15,0,11,7,1,48,4,13,4,2,14,35,28,4,5,8,8,49,3,9,57,5,6,0,0,10,1,6,1,4,0,0,0,0,0,1,4,0,0,0,25,0,1,0,1,0,85,0,0,2,0,0,17,0,3,0,1,0
-87.500,11,0,4,46,37,5,5,8,12,18,50,1,16,6,25,7,2,3,20,10,0,68,0,4,48,6,23,7,6,0,2,12,0,12,0,14,0,2,6,0,0,0,0,6,0,14,2,5,19,19,10,5,0,3,5,0,72,0,15,0,14,17,1,17,4,12,21,0,1,7,2,89,8,4,11,13,11,3,5,33,5,4,3,2,20,26,23,2,8,8,2,37,7,13,57,7,6,0,0,11,4,15,2,1,4,0,0,0,0,1,6,0,0,0,27,0,0,0,1,0,31,0,0,3,0,0,19,0,4,0,3,0
-86.500,11,0,4,32,51,5,3,11,4,16,47,1,22,6,40,10,1,12,18,7,0,86,0,1,30,5,28,10,8,0,4,9,0,14,4,10,1,4,4,1,0,0,0,4,0,25,4,2,13,18,12,3,0,2,6,0,87,0,23,4,11,16,0,7,6,12,30,0,3,14,4,243,2,15,16,23,13,6,2,43,5,11,6,0,18,36,15,4,12,6,4,28,3,11,59,15,8,0,0,11,8,5,1,2,0,0,0,0,0,1,2,0,0,0,26,0,0,0,1,0,24,0,0,4,0,0,14,0,1,0,4,0
-85.500,11,0,4,57,39,5,5,11,12,29,35,2,19,7,47,9,1,30,17,14,0,13,1,5,23,7,32,10,8,0,1,5,0,14,4,6,0,4,7,6,0,0,0,2,4,24,3,1,11,13,12,7,0,1,0,0,63,0,21,2,14,16,0,8,5,22,23,0,2,8,2,261,6,10,16,23,10,7,0,41,4,6,4,0,26,30,8,4,16,7,4,26,7,14,79,6,4,0,0,13,23,1,0,4,3,0,0,0,0,2,3,0,0,0,30,0,0,0,0,0,19,0,0,2,0,0,13,0,2,0,2,0
-84.500,21,0,4,50,55,0,3,14,10,27,31,0,22,10,41,10,3,28,31,16,0,12,2,5,25,5,39,25,6,0,2,13,0,17,1,10,0,6,30,6,0,0,0,5,1,20,1,5,7,13,13,6,0,1,0,0,59,0,22,3,17,15,4,9,2,11,33,0,1,12,1,187,3,13,18,15,6,22,0,45,3,8,3,0,46,38,21,1,14,7,2,19,3,8,114,5,8,0,0,5,20,2,0,2,0,0,0,0,0,2,4,0,0,0,33,0,0,0,3,0,22,0,0,2,0,0,10,0,2,14,1,1
-83.500,21,0,3,54,55,1,3,15,7,29,33,1,26,5,38,11,1,34,20,22,0,11,1,2,23,7,63,44,11,4,4,10,0,11,1,8,0,3,54,12,0,0,0,5,0,23,2,2,0,13,12,7,0,3,0,0,43,0,21,2,13,15,3,6,8,16,24,0,2,8,4,120,4,14,21,20,7,32,8,33,3,8,3,0,44,47,11,6,27,9,3,17,3,8,67,5,5,0,0,12,11,1,0,6,2,0,0,0,0,4,5,0,0,0,65,0,0,0,1,0,27,0,0,2,0,0,14,0,0,7,1,0
-82.500,37,0,3,69,68,2,5,15,11,20,33,2,27,4,42,13,1,34,31,34,0,13,1,5,22,6,97,35,9,10,1,5,0,21,1,12,0,6,29,10,0,0,0,6,0,30,4,3,15,12,13,7,0,2,0,0,42,0,18,2,18,17,2,8,8,13,24,0,0,11,6,95,5,15,24,18,10,20,0,36,3,4,6,0,26,51,12,28,24,5,1,26,8,11,38,1,9,0,0,6,8,2,0,20,0,0,0,0,0,1,1,3,0,0,72,0,0,0,1,0,40,0,0,1,0,0,11,0,0,7,1,0
-81.500,59,0,2,82,73,0,1,25,11,34,23,0,27,5,39,2,1,34,33,30,0,21,0,3,17,9,57,27,10,7,2,9,0,17,0,8,0,6,23,7,0,0,3,4,1,15,2,4,13,12,13,7,0,1,0,0,44,0,20,4,11,16,0,5,5,19,40,0,5,12,2,106,1,21,16,15,10,19,0,41,3,6,3,0,37,37,11,48,38,7,2,20,3,8,55,4,6,0,0,9,7,1,0,23,0,0,0,0,0,4,3,2,0,0,105,0,0,0,3,0,47,0,0,1,0,0,9,2,0,5,6,0
-80.500,6,0,2,67,90,0,3,21,10,30,24,0,28,11,41,4,2,37,43,20,0,18,1,7,25,10,54,22,9,8,3,11,0,22,10,5,1,4,20,11,0,0,11,5,5,13,3,4,15,14,12,7,0,3,0,0,27,0,30,3,9,18,0,7,4,44,33,0,2,9,7,95,6,31,29,18,5,14,0,50,3,4,3,0,42,39,11,28,38,6,1,20,2,16,30,2,4,0,0,8,7,2,0,18,0,0,0,0,0,3,6,5,0,0,92,0,4,0,1,0,28,0,0,0,0,0,12,6,0,4,2,2
