Orientation,Slice1,Slice2,Slice3,Slice4,Slice5,Slice6,Slice7,Slice8,Slice9,Slice10,Slice11,Slice12,Slice13,Slice14,Slice15,Slice16,Slice17,Slice18,Slice19,Slice20,Slice21,Slice22,Slice23,Slice24,Slice25,Slice26,Slice27,Slice28,Slice29,Slice30,Slice31,Slice32,Slice33,Slice34,Slice35,Slice36,Slice37,Slice38,Slice39,Slice40,Slice41,Slice42,Slice43,Slice44,Slice45,Slice46,Slice47,Slice48,Slice49,Slice50,Slice51,Slice52,Slice53,Slice54,Slice55,Slice56,Slice57,Slice58,Slice59,Slice60,Slice61,Slice62,Slice63,Slice64,Slice65,Slice66,Slice67,Slice68,Slice69,Slice70,Slice71,Slice72,Slice73,Slice74,Slice75,Slice76,Slice77,Slice78,Slice79,Slice80,Slice81,Slice82,Slice83,Slice84,Slice85,Slice86,Slice87,Slice88,Slice89,Slice90,Slice91,Slice92,Slice93,Slice94,Slice95,Slice96,Slice97,Slice98,Slice99,Slice100,Slice101,Slice102,Slice103,Slice104,Slice105,Slice106,Slice107,Slice108,Slice109,Slice110,Slice111,Slice112,Slice113,Slice114,Slice115,Slice116,Slice117,Slice118,Slice119,Slice120,Slice121,Slice122,Slice123,Slice124,Slice125,Slice126,Slice127,Slice128,Slice129,Slice130,Slice131,Slice132,Slice133,Slice134,Slice135,Slice136,Slice137,Slice138,Slice139,Slice140,Slice141,Slice142,Slice143,Slice144
-89.500,0,4,5,0,2,0,9,20,0,1,3,5,0,2,10,18,0,8,4,0,0,23,12,9,13,2,1,6,0,0,0,5,0,0,2,13,0,0,0,0,0,0,0,0,4,0,10,0,0,0,18,0,0,19,43,8,10,15,0,15,0,0,14,0,17,0,7,26,5,8,5,0,0,3,11,3,0,0,1,2,5,0,0,0,0,3,0,0,2,1,16,7,3,33,11,5,0,4,8,0,0,9,4,0,0,29,5,4,0,24,29,1,0,11,8,59,0,1,5,0,0,6,7,0,1,6,2,12,4,17,1,1,2,0,16,1,2,9,5,0,6,18,0,3
-88.500,0,5,2,0,4,0,6,18,0,1,7,3,1,0,8,14,0,10,1,0,0,16,14,5,9,0,2,2,0,0,0,2,0,0,2,23,0,0,0,0,0,0,5,0,2,0,7,0,0,0,17,0,0,25,35,13,12,22,3,7,0,0,14,0,16,0,13,26,6,12,15,0,0,2,7,2,0,0,5,3,2,0,0,0,0,2,2,0,2,1,2,0,4,29,20,4,0,9,5,0,0,10,2,0,0,19,0,2,0,21,32,2,2,8,10,54,0,0,5,0,1,3,7,0,2,8,1,1,0,24,3,0,1,0,24,0,0,6,6,0,5,4,0,3
-87.500,1,3,5,0,4,5,7,17,0,3,4,8,5,2,8,0,0,2,4,0,0,15,11,2,10,0,0,7,0,0,0,4,0,0,1,20,0,0,0,0,0,0,2,0,2,0,13,0,0,0,18,0,0,17,33,15,15,16,0,18,0,0,20,0,15,0,11,37,8,5,40,0,0,2,11,2,0,0,3,1,5,0,0,0,0,7,1,0,2,3,2,0,2,0,22,7,0,5,11,2,0,11,1,0,0,17,2,0,0,26,21,1,2,6,5,9,0,1,7,0,1,4,8,0,2,11,3,9,0,33,1,2,7,0,19,0,0,7,4,0,6,8,0,2
-86.500,3,3,4,0,0,3,5,15,0,2,7,5,0,0,6,0,0,6,1,0,0,16,11,0,11,0,1,2,0,0,0,3,0,0,0,18,0,0,0,0,0,0,4,0,2,0,17,0,0,0,20,0,0,22,26,11,11,14,1,5,0,0,15,0,14,0,12,43,8,7,39,0,1,4,5,1,0,0,0,2,3,0,0,0,0,5,0,0,1,2,5,2,5,0,34,8,0,9,12,0,0,11,0,0,0,16,3,1,0,19,22,1,1,5,4,0,0,1,7,0,1,1,12,0,0,32,3,8,0,33,3,1,5,0,19,0,0,5,3,0,11,17,0,2
-85.500,4,2,4,0,3,1,6,12,0,2,14,5,0,1,0,0,0,9,4,0,0,13,9,1,11,0,0,4,0,0,0,4,0,0,0,23,0,0,0,0,0,0,6,0,1,0,22,0,0,0,37,0,0,18,25,12,13,14,3,14,0,0,23,0,12,0,12,36,4,6,23,0,1,1,9,4,0,0,5,1,6,0,0,0,0,7,0,0,3,1,2,3,2,0,20,18,0,8,6,2,0,17,4,0,0,16,3,1,0,19,17,1,0,4,9,7,0,1,6,0,0,6,15,0,1,53,3,6,0,25,4,1,2,0,17,0,0,2,3,0,10,6,1,5
-84.500,3,5,1,0,4,0,5,13,0,1,12,4,7,0,0,0,0,3,2,0,0,8,9,1,14,0,3,6,0,0,0,2,0,0,0,12,0,0,0,0,0,0,6,0,2,0,30,0,1,0,30,0,0,23,28,15,19,10,2,17,0,0,18,0,16,0,17,26,9,12,19,1,3,5,4,0,0,0,2,2,6,0,0,0,0,10,2,0,1,3,2,4,5,0,14,19,0,12,11,4,0,22,2,0,0,5,1,2,0,17,18,3,1,2,5,0,0,2,13,0,1,0,23,0,2,22,4,6,8,25,2,4,2,0,14,0,2,3,3,0,5,8,3,3
-83.500,6,3,3,0,4,6,6,5,0,5,38,8,0,2,0,0,0,2,3,0,0,1,11,0,10,0,0,2,0,0,0,1,0,0,2,18,0,0,0,0,0,0,0,0,2,0,4,0,2,0,27,0,0,18,24,17,9,20,3,19,0,0,21,0,20,0,17,21,6,5,19,1,4,3,8,3,0,0,3,1,6,0,0,0,0,10,2,0,1,1,1,0,4,0,13,22,0,10,8,0,0,20,1,0,0,17,4,7,0,20,17,0,0,4,5,0,0,0,12,0,0,0,24,0,0,19,5,14,0,22,4,10,5,0,18,0,0,0,1,0,7,16,2,3
-82.500,6,2,3,0,2,3,4,10,0,1,22,6,2,0,0,0,0,7,8,0,0,7,10,0,13,0,0,5,0,0,0,3,0,0,7,11,0,0,0,0,0,0,10,0,1,0,0,0,1,0,22,0,0,27,23,6,13,10,7,22,0,0,24,0,19,0,22,17,8,5,13,4,6,3,5,3,0,0,6,1,13,0,0,0,1,12,0,0,2,4,1,6,6,0,12,23,0,5,10,0,0,1,3,0,0,8,4,1,0,17,14,0,2,3,7,5,0,2,25,0,1,1,25,6,0,15,3,8,0,22,10,13,3,0,16,0,0,2,4,0,5,9,8,4
-81.500,7,4,2,0,1,3,5,3,0,5,22,5,4,4,0,0,0,6,2,0,0,1,9,0,18,0,0,5,0,0,0,1,0,0,9,12,0,0,0,0,0,0,11,0,2,0,0,0,2,0,31,0,0,13,20,17,18,11,3,38,0,0,20,0,23,0,29,25,6,7,12,11,7,3,4,4,0,0,3,1,22,0,0,0,4,8,4,0,2,3,5,17,2,0,9,28,0,10,10,0,0,0,3,0,0,3,1,3,0,17,16,0,2,3,5,2,0,1,28,0,3,3,16,21,0,7,29,11,0,29,7,20,3,0,16,0,0,0,2,0,6,18,4,1
-80.500,10,4,2,0,5,6,8,8,0,3,11,6,2,0,0,0,0,2,0,0,0,4,8,0,19,0,0,4,0,0,0,5,0,0,14,10,0,0,0,0,0,0,18,0,0,0,0,0,2,0,28,0,0,16,17,15,16,14,0,10,0,0,35,0,21,0,29,19,10,11,9,5,15,4,5,4,0,0,4,1,19,0,0,0,1,10,2,4,2,3,2,16,8,0,9,28,0,7,11,0,0,0,2,0,0,15,8,4,0,31,20,1,0,3,6,0,0,2,32,0,1,0,13,10,0,11,23,18,0,31,2,18,3,0,18,0,0,0,0,0,4,14,10,4
