Orientation,Slice1,Slice2,Slice3,Slice4,Slice5,Slice6,Slice7,Slice8,Slice9,Slice10,Slice11,Slice12,Slice13,Slice14,Slice15,Slice16,Slice17,Slice18,Slice19,Slice20,Slice21,Slice22,Slice23,Slice24,Slice25,Slice26,Slice27,Slice28,Slice29,Slice30,Slice31,Slice32,Slice33,Slice34,Slice35,Slice36,Slice37,Slice38,Slice39,Slice40,Slice41,Slice42,Slice43,Slice44,Slice45,Slice46,Slice47,Slice48,Slice49,Slice50,Slice51,Slice52,Slice53,Slice54,Slice55,Slice56,Slice57,Slice58,Slice59,Slice60,Slice61,Slice62,Slice63,Slice64,Slice65,Slice66,Slice67,Slice68,Slice69,Slice70,Slice71,Slice72,Slice73,Slice74,Slice75,Slice76,Slice77,Slice78,Slice79,Slice80,Slice81,Slice82,Slice83,Slice84,Slice85,Slice86,Slice87,Slice88,Slice89,Slice90,Slice91,Slice92,Slice93,Slice94,Slice95,Slice96,Slice97,Slice98,Slice99,Slice100,Slice101,Slice102,Slice103,Slice104,Slice105,Slice106,Slice107,Slice108,Slice109,Slice110,Slice111,Slice112,Slice113,Slice114,Slice115,Slice116,Slice117,Slice118,Slice119,Slice120,Slice121,Slice122,Slice123,Slice124,Slice125,Slice126,Slice127,Slice128,Slice129,Slice130,Slice131,Slice132,Slice133,Slice134,Slice135,Slice136,Slice137,Slice138,Slice139,Slice140,Slice141,Slice142,Slice143,Slice144,Slice145,Slice146,Slice147,Slice148,Slice149,Slice150,Slice151,Slice152,Slice153,Slice154,Slice155,Slice156,Slice157,Slice158,Slice159,Slice160,Slice161,Slice162,Slice163,Slice164,Slice165,Slice166,Slice167
-89.500,12,0,4,0,4,0,6,3,2,6,3,0,4,0,8,0,0,0,2,0,49,5,8,0,0,1,0,14,0,0,16,30,21,2,0,2,8,0,8,0,17,3,0,3,21,9,5,0,0,4,0,0,0,0,5,19,11,2,16,7,2,0,0,11,1,29,4,0,0,34,0,1,14,3,3,0,3,5,1,0,9,1,1,0,0,38,5,7,0,0,0,14,14,11,0,0,37,32,2,0,0,15,5,10,0,2,0,3,1,19,4,8,8,0,0,0,3,22,1,0,0,0,22,0,0,18,11,6,1,0,0,0,0,2,0,11,5,0,0,8,0,0,4,0,8,0,5,0,20,2,21,0,9,0,0,0,0,8,0,0,0,0,0,9,0,6,0
-88.500,5,0,8,0,0,0,7,5,3,6,3,0,2,0,12,0,0,0,4,0,38,4,5,0,0,2,8,14,0,0,5,26,13,4,0,4,10,0,2,0,16,6,0,0,31,11,6,0,0,7,0,0,0,0,2,13,19,6,17,9,11,4,0,9,1,21,4,0,0,24,0,0,10,0,4,0,4,8,2,0,13,1,0,0,0,42,3,6,0,0,0,14,18,15,0,0,19,36,6,0,0,10,0,29,0,1,0,3,5,27,7,4,7,0,0,0,0,23,5,0,0,0,21,0,0,22,12,3,1,0,0,0,0,0,0,0,12,0,4,9,0,0,2,0,7,0,12,0,22,3,28,0,9,0,0,0,0,11,0,0,0,0,0,7,0,1,0
-87.500,13,0,5,0,1,0,7,5,1,5,3,0,5,0,13,0,0,0,2,0,41,4,8,0,0,2,11,9,0,0,5,34,11,3,0,4,11,0,7,0,31,4,14,0,32,9,8,0,0,5,0,0,0,0,3,20,11,5,19,8,5,3,0,8,1,22,2,12,0,19,0,1,13,4,4,0,12,7,2,0,15,1,1,0,0,33,3,4,1,0,0,10,9,10,0,0,20,23,3,0,0,6,0,17,0,0,0,2,3,29,5,4,11,3,0,0,0,12,6,5,0,0,30,0,0,34,9,4,3,0,0,0,0,0,0,5,2,0,3,6,0,0,1,0,8,0,3,0,17,0,38,0,18,0,0,0,0,9,0,0,0,0,0,7,0,2,0
-86.500,11,0,8,0,3,0,14,5,2,7,3,0,3,0,9,0,0,0,2,0,32,5,13,0,0,1,7,13,0,0,3,21,7,3,0,4,17,0,5,0,33,3,34,0,32,11,5,0,0,7,0,0,2,0,2,20,0,1,19,5,6,3,0,7,1,26,1,0,0,22,0,1,9,2,4,0,1,7,5,0,15,5,2,0,0,34,3,6,2,5,0,12,17,15,0,0,15,12,5,0,0,11,0,19,0,0,0,2,5,11,5,4,32,4,0,0,0,23,12,2,0,0,18,0,0,22,14,4,3,0,0,0,0,0,0,4,6,0,2,14,0,0,5,0,9,0,13,0,27,4,39,0,15,0,0,0,0,8,0,2,0,0,0,11,0,1,0
-85.500,7,0,4,0,2,0,8,11,8,3,3,0,6,0,16,0,2,0,1,0,26,4,12,0,0,3,11,13,0,0,7,13,5,3,0,1,19,0,5,0,61,7,23,0,23,10,3,0,0,9,0,0,4,0,2,18,0,5,19,8,5,4,0,5,1,28,4,0,0,27,0,0,19,1,5,0,1,9,3,0,17,1,1,0,0,32,1,6,0,9,0,10,13,16,0,0,23,8,4,0,0,9,0,17,0,0,0,3,13,0,6,6,28,3,0,0,0,19,14,2,0,0,4,0,0,22,6,6,2,0,0,0,0,6,0,7,6,0,6,7,0,0,4,0,5,0,3,0,22,5,43,0,8,0,0,0,0,0,0,5,0,0,0,5,0,4,0
-84.500,15,0,9,0,3,0,11,8,2,6,5,0,6,0,7,0,1,0,2,0,23,5,13,0,0,2,9,10,0,0,6,18,6,0,7,2,25,0,4,0,57,2,6,0,13,10,0,0,0,8,0,0,3,0,2,19,0,5,19,4,12,3,0,6,1,31,2,0,0,23,0,2,5,3,3,0,6,12,6,1,14,1,2,0,0,31,4,5,1,10,0,10,15,19,0,0,7,10,4,0,0,7,0,21,0,1,0,2,9,0,3,3,29,2,0,0,0,14,20,0,0,0,6,0,0,27,14,3,1,0,0,0,0,0,0,5,6,0,2,8,0,0,0,0,3,0,6,0,36,1,43,0,8,0,0,0,3,1,0,9,0,0,0,9,0,5,0
-83.500,8,0,2,0,1,0,11,12,7,6,0,0,5,0,17,0,2,0,4,0,22,4,28,0,0,6,10,11,0,0,8,13,6,0,2,4,29,0,7,0,32,7,22,0,10,12,0,0,0,10,0,0,7,0,2,23,0,2,15,6,6,6,0,10,1,31,1,10,0,24,0,1,15,2,5,0,7,11,10,0,18,1,1,0,0,23,2,5,3,11,0,15,14,20,0,0,17,8,7,0,0,11,0,13,0,1,0,1,9,0,8,3,11,2,0,0,0,14,25,0,0,0,6,0,0,26,18,6,1,0,0,0,0,0,0,5,3,0,5,12,0,0,2,0,11,0,10,0,40,10,38,0,11,0,0,0,22,0,0,9,0,0,0,6,0,2,0
-82.500,11,0,7,0,3,0,11,14,5,5,5,0,7,0,13,0,1,0,2,0,19,4,25,0,0,4,11,12,0,0,8,14,7,0,0,6,17,0,5,0,28,5,6,0,6,15,0,0,0,7,0,0,5,0,1,18,0,2,14,6,9,4,0,10,1,39,6,2,0,32,0,0,11,1,7,0,1,15,10,1,19,2,1,0,0,30,4,7,0,7,0,49,13,30,0,0,17,9,7,0,0,10,0,24,5,3,0,4,4,0,4,9,8,4,0,0,0,22,44,3,0,0,6,0,0,27,21,5,2,0,0,0,0,0,0,6,8,0,7,11,0,0,9,0,7,0,5,0,29,5,54,0,7,0,0,0,27,1,0,11,0,0,0,9,0,1,0
-81.500,14,0,4,0,2,0,12,13,7,4,4,0,5,0,18,0,3,0,2,0,28,2,15,0,0,4,9,12,0,0,16,15,4,0,0,2,27,0,3,0,29,4,14,0,8,15,0,0,0,14,0,3,6,0,3,26,0,8,15,3,15,8,0,14,1,55,2,0,0,26,0,1,13,2,5,0,3,21,10,1,16,3,2,0,0,23,1,3,0,6,0,46,17,8,0,0,16,5,7,0,0,8,0,14,0,2,0,3,8,0,4,2,3,7,0,0,0,16,37,3,0,0,11,0,0,24,25,3,3,0,0,0,0,6,0,8,8,0,4,11,2,0,1,0,7,0,12,0,32,9,27,0,9,0,11,0,17,0,0,12,0,0,0,9,0,2,0
-80.500,9,0,7,0,3,0,12,20,7,9,4,0,10,0,18,0,3,0,2,0,21,0,13,0,0,5,15,9,0,0,24,12,5,0,0,3,20,0,6,0,22,9,2,0,2,19,0,0,43,12,0,2,13,0,1,24,0,5,9,6,13,11,0,8,2,44,4,0,0,22,0,2,8,4,7,0,11,12,4,1,23,1,2,0,0,23,2,8,5,6,0,29,17,15,0,0,9,6,6,0,0,15,0,18,0,2,0,1,7,0,8,5,0,1,0,0,0,13,39,2,0,0,9,0,0,49,9,7,2,0,0,0,0,0,0,9,4,0,11,16,4,0,2,0,9,0,3,0,7,9,17,0,3,0,4,0,15,0,0,16,0,0,0,10,0,4,0
