Orientation,Slice1,Slice2,Slice3,Slice4,Slice5,Slice6,Slice7,Slice8,Slice9,Slice10,Slice11,Slice12,Slice13,Slice14,Slice15,Slice16,Slice17,Slice18,Slice19,Slice20,Slice21,Slice22,Slice23,Slice24,Slice25,Slice26,Slice27,Slice28,Slice29,Slice30,Slice31,Slice32,Slice33,Slice34,Slice35,Slice36,Slice37,Slice38,Slice39,Slice40,Slice41,Slice42,Slice43,Slice44,Slice45,Slice46,Slice47,Slice48,Slice49,Slice50,Slice51,Slice52,Slice53,Slice54,Slice55,Slice56,Slice57,Slice58,Slice59,Slice60,Slice61,Slice62,Slice63,Slice64,Slice65,Slice66,Slice67,Slice68,Slice69,Slice70,Slice71,Slice72,Slice73,Slice74,Slice75,Slice76,Slice77,Slice78,Slice79,Slice80,Slice81,Slice82,Slice83,Slice84,Slice85,Slice86,Slice87,Slice88,Slice89,Slice90,Slice91,Slice92,Slice93,Slice94,Slice95,Slice96,Slice97,Slice98,Slice99,Slice100,Slice101,Slice102,Slice103,Slice104,Slice105,Slice106,Slice107,Slice108,Slice109,Slice110,Slice111,Slice112,Slice113,Slice114,Slice115,Slice116,Slice117,Slice118,Slice119,Slice120,Slice121,Slice122,Slice123,Slice124,Slice125,Slice126,Slice127,Slice128,Slice129,Slice130,Slice131,Slice132,Slice133,Slice134,Slice135,Slice136
-89.500,2,6,65,16,11,0,48,36,8,24,36,39,1,9,0,11,6,19,0,12,3,7,0,0,0,0,2,19,25,5,41,26,36,31,5,7,0,18,0,0,27,34,38,31,7,57,17,67,27,13,37,26,18,55,35,88,31,59,41,22,63,15,45,42,46,46,121,27,30,0,14,38,1,30,0,12,10,12,8,6,0,0,13,20,0,7,1,0,39,1,11,0,7,0,37,0,7,0,1,7,7,5,15,0,0,1,1,11,0,91,18,1,0,12,0,6,8,0,5,13,2,5,4,0,20,12,12,10,30,0,16,46,2,16,11,0
-88.500,0,5,71,10,11,0,58,41,5,30,48,35,2,12,0,18,7,26,0,9,6,4,0,0,0,0,2,9,20,9,32,18,32,24,5,8,0,15,0,0,24,57,52,30,5,53,8,53,28,12,41,21,32,73,31,70,48,73,31,27,99,6,55,42,51,34,79,22,20,0,13,38,3,38,0,14,17,18,11,2,0,0,19,21,0,15,1,0,33,3,5,0,3,0,55,0,1,0,0,7,8,2,17,0,0,2,0,0,0,75,21,4,0,13,0,7,7,0,9,6,1,3,1,0,41,8,8,10,31,0,10,32,1,28,9,0
-87.500,0,8,89,15,11,0,43,36,3,22,49,49,2,10,0,10,10,25,0,15,5,6,0,0,0,0,0,10,23,8,39,15,8,32,5,15,0,15,0,0,30,100,52,21,5,54,17,43,29,17,23,15,18,74,28,46,39,56,55,32,90,22,56,31,62,36,101,30,30,0,8,57,5,26,0,9,10,12,18,4,0,0,25,26,0,8,1,0,29,3,12,0,8,0,46,0,1,0,2,6,50,0,18,0,0,0,1,3,0,0,17,3,0,11,0,4,7,0,7,13,2,3,1,0,23,17,10,8,24,0,8,29,2,1,10,0
-86.500,1,4,116,21,7,0,44,39,5,20,42,31,1,14,0,18,10,23,0,8,7,8,0,0,0,0,2,7,6,10,52,12,3,35,2,12,0,18,0,1,21,36,57,25,15,64,13,37,31,17,30,17,20,134,29,57,44,62,53,51,111,9,58,49,63,39,95,13,19,0,14,48,3,27,0,14,12,15,8,6,0,0,23,32,0,9,3,0,25,5,4,0,2,0,22,0,7,0,1,8,22,0,18,0,0,0,1,1,0,0,19,1,0,11,0,9,5,0,6,15,2,5,0,0,21,21,8,9,24,0,6,21,0,3,7,0
-85.500,1,8,83,20,6,0,32,45,10,23,30,32,2,11,0,18,5,17,0,14,5,4,0,0,0,0,3,9,11,6,35,12,4,55,6,5,3,18,0,1,30,10,64,22,5,63,11,25,24,1,19,14,19,135,26,51,35,43,50,62,79,26,68,29,99,43,82,14,29,1,8,35,2,36,0,10,13,18,10,0,0,0,30,17,0,4,1,0,32,3,11,0,2,0,15,0,1,0,0,5,14,3,17,0,3,1,2,0,0,0,17,4,0,11,0,2,11,0,7,11,2,2,3,0,19,31,9,5,17,0,12,23,1,2,13,0
-84.500,1,4,69,16,6,0,29,38,4,15,32,38,2,6,0,12,7,21,0,12,9,7,0,0,0,0,4,11,6,9,38,13,2,53,6,5,4,15,0,0,29,9,90,26,4,78,13,35,25,2,17,18,21,138,25,45,36,41,49,61,74,12,66,33,69,47,76,24,15,2,7,38,8,32,0,8,16,10,14,0,0,0,32,22,0,5,2,0,27,1,6,0,4,0,14,0,4,0,1,8,12,3,22,0,1,2,5,0,0,0,21,2,0,15,0,6,6,0,10,12,2,6,1,0,9,36,3,8,24,0,5,23,2,5,5,0
-83.500,2,5,53,37,8,0,37,51,6,17,17,39,2,2,0,16,7,16,0,8,9,8,0,0,0,0,7,11,6,10,42,9,2,53,3,21,6,11,0,2,31,9,66,19,4,89,11,24,24,1,12,10,20,179,23,40,29,40,41,78,88,24,95,46,51,42,42,17,26,2,8,27,3,43,0,15,10,17,12,3,0,0,40,16,0,1,0,0,42,3,9,0,4,1,16,0,4,0,0,7,9,1,24,0,0,0,2,0,0,0,15,5,0,27,0,5,10,0,6,15,2,3,1,0,14,22,7,4,15,0,7,5,1,1,15,0
-82.500,0,7,70,35,5,0,56,59,11,17,8,29,3,3,0,16,6,17,0,13,19,7,0,0,0,0,8,15,8,11,36,10,4,57,6,7,9,17,28,2,109,5,67,24,11,133,22,36,31,3,6,14,16,156,25,44,39,41,54,75,138,29,138,45,29,35,44,12,24,5,11,30,3,27,0,7,16,18,14,1,0,0,33,12,0,8,1,0,42,4,9,0,1,2,26,0,4,0,1,4,4,3,25,0,0,1,1,0,0,0,17,3,0,22,3,2,14,0,8,13,2,5,1,0,5,12,7,8,13,0,7,0,2,2,9,0
-81.500,1,4,45,32,7,0,40,88,4,9,9,27,2,2,0,14,5,17,0,9,11,4,0,0,0,0,7,13,7,11,23,10,1,44,2,8,12,19,39,3,39,8,64,21,8,90,30,31,19,4,6,16,24,94,12,40,28,41,53,40,134,76,82,49,16,31,28,14,51,6,7,26,12,55,0,15,18,16,13,3,0,0,35,18,0,4,7,0,47,4,6,0,2,6,64,0,5,0,1,6,8,8,41,0,0,1,3,0,0,0,21,3,0,20,1,8,11,0,9,12,1,4,2,0,13,5,8,3,27,0,6,0,0,3,10,2
-80.500,5,10,60,33,5,0,35,49,11,18,5,22,5,1,0,14,12,18,0,10,8,8,0,0,0,0,5,8,8,12,18,3,1,33,10,18,17,12,23,2,32,2,68,20,6,86,40,30,15,2,6,13,19,77,15,40,33,30,56,34,125,59,48,46,10,32,42,14,58,5,10,29,4,27,0,14,23,25,11,19,0,1,36,12,0,4,6,0,35,4,7,0,3,5,27,0,7,0,1,7,2,6,20,0,0,1,5,0,0,0,22,7,0,18,0,2,14,0,8,19,3,4,0,0,3,11,14,6,10,0,9,5,1,3,8,0
