Orientation,Slice1,Slice2,Slice3,Slice4,Slice5,Slice6,Slice7,Slice8,Slice9,Slice10,Slice11,Slice12,Slice13,Slice14,Slice15,Slice16,Slice17,Slice18,Slice19,Slice20,Slice21,Slice22,Slice23,Slice24,Slice25,Slice26,Slice27,Slice28,Slice29,Slice30,Slice31,Slice32,Slice33,Slice34,Slice35,Slice36,Slice37,Slice38,Slice39,Slice40,Slice41,Slice42,Slice43,Slice44,Slice45,Slice46,Slice47,Slice48,Slice49,Slice50,Slice51,Slice52,Slice53,Slice54,Slice55,Slice56,Slice57,Slice58,Slice59,Slice60,Slice61,Slice62,Slice63,Slice64,Slice65,Slice66,Slice67,Slice68,Slice69,Slice70,Slice71,Slice72,Slice73,Slice74,Slice75,Slice76,Slice77,Slice78,Slice79,Slice80,Slice81,Slice82,Slice83,Slice84,Slice85,Slice86,Slice87,Slice88,Slice89,Slice90,Slice91,Slice92,Slice93,Slice94,Slice95,Slice96,Slice97,Slice98,Slice99,Slice100,Slice101,Slice102,Slice103,Slice104,Slice105,Slice106,Slice107,Slice108,Slice109,Slice110,Slice111,Slice112,Slice113,Slice114,Slice115,Slice116,Slice117,Slice118
-89.500,5,2,29,15,4,27,6,10,14,13,21,0,0,0,20,13,3,0,21,0,0,0,4,0,0,0,0,3,5,0,7,3,5,0,0,20,2,5,0,1,13,4,8,7,13,39,46,31,65,37,13,111,12,25,20,32,37,50,28,110,31,30,86,39,63,22,52,150,65,14,94,42,77,73,90,61,22,3,86,9,41,17,6,7,25,4,9,23,4,0,0,20,0,13,0,40,25,9,50,13,14,29,0,1,0,23,15,2,0,3,0,12,4,5,10,30,13,0
-88.500,6,0,27,13,4,18,16,11,13,9,16,0,5,8,31,16,4,0,25,0,0,0,6,0,0,0,0,1,9,0,0,4,7,0,0,17,0,6,0,4,9,5,20,6,14,35,39,29,67,34,14,98,18,21,17,38,22,59,40,98,26,28,96,41,51,19,50,160,73,24,111,44,77,60,106,51,28,5,96,7,44,14,5,6,27,0,11,27,6,0,0,14,0,11,0,49,19,14,76,19,22,28,0,2,3,30,11,0,0,2,0,11,2,11,8,33,17,4
-87.500,6,0,36,13,2,20,6,16,12,10,24,0,3,14,21,17,5,0,24,0,0,0,2,3,0,0,0,1,3,0,7,1,8,0,0,19,0,4,0,2,7,3,11,7,20,35,42,24,85,61,13,105,19,23,19,40,38,67,94,98,35,33,98,39,106,19,48,163,76,16,114,62,70,65,90,54,44,3,108,12,32,5,0,7,28,3,13,20,6,0,0,9,0,14,0,58,27,12,69,13,16,20,0,2,5,17,9,1,0,1,2,4,3,5,9,41,23,0
-86.500,5,0,25,16,2,42,18,22,12,3,17,0,2,14,15,24,4,0,18,0,0,0,8,0,0,0,0,4,9,0,2,4,7,0,0,27,0,4,0,13,10,1,15,9,15,30,52,26,71,74,12,108,17,22,28,37,31,46,78,99,21,27,102,32,116,20,60,182,99,18,39,61,63,62,96,53,47,5,75,8,40,8,6,8,76,7,7,18,3,0,0,15,0,16,0,38,25,11,56,10,15,16,0,5,11,22,12,3,0,2,3,13,5,4,13,38,20,0
-85.500,6,0,43,9,6,27,12,21,12,2,14,0,4,16,18,22,6,0,18,0,0,0,2,0,0,0,0,3,8,0,8,1,9,0,0,32,0,3,0,24,5,0,13,8,19,27,65,22,70,80,10,119,26,23,21,35,35,53,61,112,37,39,149,35,117,15,51,240,96,22,40,62,58,76,83,71,47,3,56,10,25,16,7,10,82,5,15,25,6,0,0,20,0,12,0,29,24,6,47,15,22,9,0,4,8,17,10,1,0,3,4,8,6,8,10,38,24,0
-84.500,6,3,24,19,3,20,10,20,13,0,14,0,1,19,12,26,6,0,19,0,0,0,7,3,0,0,0,1,15,0,14,5,19,0,0,64,0,6,0,13,4,0,11,9,15,25,34,20,68,86,3,101,28,20,25,48,36,56,61,110,29,37,182,36,138,15,65,181,100,14,31,53,59,40,72,68,57,6,54,12,22,10,1,13,77,1,11,20,5,0,0,22,0,8,0,27,34,16,35,12,21,12,0,3,13,16,14,0,0,0,5,5,3,5,12,36,25,0
-83.500,6,1,51,9,2,12,21,17,10,0,14,1,5,14,13,25,8,0,14,0,0,0,6,0,0,1,0,1,15,0,0,0,14,0,0,57,0,4,0,7,6,0,25,11,20,27,44,24,80,88,7,89,21,29,35,50,40,63,58,128,49,47,178,38,154,19,63,118,102,25,37,56,45,52,67,140,46,5,44,11,15,5,2,16,68,0,11,28,4,0,0,20,0,8,0,24,34,7,30,19,13,8,0,5,13,19,14,4,0,2,3,13,4,3,9,37,27,3
-82.500,7,0,37,15,8,20,19,22,11,0,22,0,6,21,14,29,7,0,19,0,0,0,7,4,0,1,0,0,18,1,0,7,13,0,0,122,0,5,0,11,4,0,15,11,18,23,39,20,55,117,5,105,20,25,36,52,59,51,61,138,37,87,162,34,186,11,67,104,112,22,27,57,51,45,66,132,58,6,47,11,20,14,10,15,68,0,11,35,5,0,0,22,0,9,0,21,19,11,32,15,21,8,0,15,10,19,11,2,0,2,6,7,1,5,12,44,27,2
-81.500,2,0,66,10,2,20,27,18,11,0,12,0,3,9,15,31,9,0,12,0,0,0,9,0,0,1,0,4,13,3,0,0,0,0,1,71,0,5,0,3,5,0,24,12,21,20,43,30,46,146,7,110,21,29,48,61,67,43,57,129,22,55,136,37,216,13,79,114,135,25,35,43,49,40,92,76,55,6,32,15,13,14,1,9,42,0,14,24,6,0,2,17,0,8,0,13,13,8,23,16,14,11,0,15,11,23,12,1,0,3,5,8,2,3,16,58,26,1
-80.500,7,0,48,19,16,13,33,10,12,0,9,2,9,14,9,25,9,0,16,0,0,0,5,5,0,2,0,3,23,3,0,5,0,0,1,44,0,2,0,9,2,0,19,17,23,23,61,23,48,158,9,111,19,44,64,54,92,43,59,126,23,55,71,46,232,42,85,109,154,28,37,53,54,56,106,44,54,3,49,16,15,2,1,12,32,0,13,16,4,0,5,53,0,7,0,23,11,12,26,11,27,10,0,14,15,12,8,3,0,1,4,11,2,3,14,47,27,2
-79.500,0,2,55,6,28,14,26,8,9,0,15,0,3,8,17,33,13,0,16,0,0,0,12,12,0,3,0,0,21,1,0,2,0,0,2,27,0,5,0,2,1,0,26,16,45,17,39,33,33,125,10,108,24,71,81,54,68,53,82,85,31,53,70,44,158,25,91,96,194,31,35,62,49,53,104,30,82,9,40,15,16,23,11,7,49,0,13,21,6,0,6,59,0,5,0,17,6,7,24,18,18,19,0,17,7,31,12,3,0,1,37,7,0,5,14,49,27,1
-78.500,6,1,45,15,25,14,21,14,10,0,13,0,4,12,12,45,13,0,14,0,0,0,9,16,0,6,0,0,39,9,0,5,0,0,2,25,0,3,0,9,6,0,21,17,27,23,26,25,41,108,8,90,21,26,72,57,43,57,85,74,28,45,79,51,94,34,110,101,262,39,30,46,52,52,98,24,138,5,19,12,16,6,2,11,44,0,15,18,4,0,4,46,0,1,0,12,8,9,24,19,21,27,0,15,0,19,15,2,0,3,34,9,2,2,14,50,22,3
-77.500,0,1,51,9,29,15,15,10,10,0,14,1,4,7,14,39,16,0,15,0,0,0,12,13,0,3,0,0,27,15,0,2,0,0,6,21,0,5,0,3,1,0,33,14,30,22,25,39,30,90,14,101,23,25,75,55,38,47,108,72,19,49,51,66,98,43,141,99,297,47,45,66,62,83,148,11,113,64,31,11,20,11,8,8,37,0,19,18,6,0,8,40,0,5,0,19,7,12,18,14,23,19,0,18,0,29,18,3,0,3,31,12,0,2,17,43,24,2
-76.500,0,1,37,14,32,20,6,15,9,0,6,2,6,11,12,22,33,0,15,0,0,0,7,20,0,4,0,2,27,29,0,6,2,0,11,19,0,4,0,15,2,0,33,11,21,23,17,81,46,90,22,102,24,21,43,63,31,52,100,59,22,38,39,111,131,41,139,80,210,60,44,60,61,57,97,9,120,74,24,8,12,15,5,8,46,0,15,17,6,0,9,38,0,8,0,16,2,8,17,18,23,22,0,27,0,27,14,2,0,1,32,4,0,4,23,38,19,1
-75.500,5,0,37,13,33,14,6,10,10,0,7,0,3,7,14,37,46,2,14,0,0,0,14,17,0,8,0,2,17,31,0,4,0,0,10,12,0,5,0,15,4,0,34,13,29,25,18,37,27,78,19,108,28,24,39,61,34,49,105,50,28,43,37,175,86,42,78,60,144,80,39,80,80,85,80,8,85,57,24,10,17,15,2,9,44,0,17,22,6,0,6,49,0,1,0,18,5,10,14,24,28,15,7,16,0,42,20,5,0,2,32,17,0,21,12,23,11,6
-74.500,0,3,24,9,58,16,4,19,11,0,6,0,6,12,17,24,26,4,15,0,0,0,12,9,0,7,0,0,18,41,0,4,0,0,35,9,0,3,0,27,1,0,23,12,21,28,21,18,32,67,10,92,35,17,22,79,33,54,121,58,22,35,34,158,60,48,78,57,115,99,47,85,80,89,97,5,90,36,27,15,19,6,9,5,40,0,14,10,14,0,10,51,7,7,0,20,3,11,14,15,33,22,2,17,0,29,23,2,0,2,28,6,0,33,25,30,7,2
-73.500,0,1,42,13,34,18,3,15,8,0,2,2,3,8,38,38,25,5,15,0,0,0,19,12,0,13,0,1,21,56,0,6,3,0,59,8,0,5,0,26,3,0,33,9,16,37,15,21,35,54,19,118,42,17,24,64,28,64,149,45,27,39,39,149,77,42,121,52,119,169,41,131,68,90,53,6,98,42,22,8,21,12,3,8,42,0,9,17,5,0,10,23,13,6,0,14,3,22,12,25,32,17,1,11,0,38,10,4,0,3,24,15,0,26,25,20,6,1
-72.500,4,0,27,14,31,21,4,22,12,0,5,1,10,8,40,37,17,6,15,0,0,0,14,12,0,11,0,1,18,55,0,6,3,0,62,8,0,5,0,12,1,0,26,12,17,39,19,21,31,49,13,94,34,24,20,59,29,66,160,53,22,39,48,298,49,49,185,43,121,157,31,139,66,92,62,2,110,36,27,9,19,31,11,5,50,0,15,18,12,0,16,15,14,5,0,12,3,15,15,22,35,23,1,12,0,31,4,4,0,1,34,8,0,15,27,20,3,5
-71.500,0,1,36,15,34,20,0,19,5,0,10,0,4,10,58,45,18,7,15,0,0,0,25,10,0,10,1,1,19,52,0,10,2,0,12,5,0,4,0,13,3,0,36,11,23,41,15,18,35,51,17,91,33,18,23,56,31,49,198,51,24,34,44,196,22,48,186,32,26,108,34,93,62,117,57,4,116,45,27,12,23,14,8,8,55,0,10,18,6,0,12,16,23,5,0,14,2,18,11,24,29,29,9,13,0,30,5,6,0,3,25,17,0,15,24,20,2,5
-70.500,0,5,28,17,20,33,4,24,14,0,9,1,6,4,41,60,13,5,12,0,0,0,22,12,0,13,0,5,20,43,0,13,3,0,4,6,0,7,14,12,3,0,33,12,17,40,20,31,31,43,22,87,26,25,21,49,33,57,172,37,31,38,40,145,24,39,124,38,26,84,39,94,58,166,40,2,106,51,27,8,36,1,6,4,66,0,16,11,17,0,17,8,65,4,0,12,2,14,10,30,38,33,5,13,0,27,7,3,58,1,27,10,0,17,20,11,1,5
-69.500,2,19,31,16,20,28,0,31,7,0,2,4,5,11,34,56,38,11,13,0,0,0,31,16,0,17,3,4,20,49,0,8,7,0,2,3,0,3,30,11,1,0,44,8,17,48,15,19,32,43,23,95,28,13,19,37,41,62,165,46,22,38,42,143,33,50,106,31,19,77,46,83,56,136,40,3,88,29,29,13,13,4,10,7,43,0,12,13,12,0,15,5,75,8,0,9,2,16,11,28,42,42,2,12,0,35,9,6,66,7,22,17,0,16,19,24,0,13
-68.500,0,6,31,20,21,26,0,29,6,0,7,0,7,7,36,35,50,8,15,0,0,0,33,16,3,20,2,3,19,51,0,7,8,3,0,4,0,8,41,13,3,0,58,13,17,43,13,14,31,38,28,110,36,13,23,40,52,25,60,47,32,39,43,109,18,55,91,37,24,71,63,75,48,79,40,2,81,62,26,10,11,3,11,5,40,0,18,20,17,0,28,12,29,7,0,11,1,9,9,31,31,44,2,11,0,27,6,5,49,9,24,17,0,5,20,12,3,19
-67.500,0,4,32,26,19,27,0,22,6,0,4,4,5,4,32,38,51,8,12,0,0,16,40,13,4,20,5,3,25,49,0,4,17,0,0,5,0,3,26,10,3,0,74,10,22,62,30,29,35,42,34,72,24,16,26,43,9,20,40,42,30,41,51,106,22,59,50,34,26,54,58,71,59,86,42,0,74,33,33,11,14,0,12,2,42,0,14,11,22,0,33,4,23,8,0,10,0,18,14,40,38,28,10,11,0,33,13,6,54,7,24,21,0,15,20,16,8,22
-66.500,0,7,29,18,20,26,0,21,1,0,15,6,5,8,34,22,25,12,15,0,0,32,62,22,0,24,6,3,18,44,0,9,12,0,0,12,0,8,18,8,1,0,85,12,24,62,36,32,25,34,1,42,29,14,27,51,14,26,21,53,29,32,39,107,28,77,42,34,24,50,73,78,48,84,36,0,66,42,32,11,12,3,12,8,34,0,19,13,17,3,25,4,0,9,0,12,1,14,11,44,44,33,3,10,0,46,10,7,48,6,29,19,0,13,21,19,10,34
-65.500,0,3,35,21,22,37,0,19,4,0,7,6,8,6,22,29,32,11,33,0,2,34,95,15,7,25,6,3,27,45,0,13,9,0,0,10,0,7,17,12,2,0,72,12,15,74,42,27,26,34,0,39,33,17,25,49,11,22,12,49,37,29,34,72,23,76,37,39,28,63,144,92,52,72,47,0,74,62,24,12,17,4,23,4,45,0,18,13,15,8,26,10,0,12,2,6,1,12,7,36,51,32,5,13,0,23,23,6,43,10,37,22,0,8,27,12,13,47
-64.500,0,9,31,21,41,25,0,19,4,0,8,6,6,5,24,18,28,16,48,0,1,46,99,11,7,27,7,5,31,47,0,38,9,0,0,9,0,5,19,16,3,0,76,14,19,91,47,38,28,39,0,34,29,22,33,41,13,27,12,69,42,34,31,75,22,75,33,34,31,32,196,112,45,82,40,0,103,54,43,11,13,0,28,4,47,0,22,18,15,20,18,1,0,11,4,11,0,12,6,44,46,30,0,9,1,17,17,6,42,18,31,19,0,14,26,17,21,51
