Orientation,Slice1,Slice2,Slice3,Slice4,Slice5,Slice6,Slice7,Slice8,Slice9,Slice10,Slice11,Slice12,Slice13,Slice14,Slice15,Slice16,Slice17,Slice18,Slice19,Slice20,Slice21,Slice22,Slice23,Slice24,Slice25,Slice26,Slice27,Slice28,Slice29,Slice30,Slice31,Slice32,Slice33,Slice34,Slice35,Slice36,Slice37,Slice38,Slice39,Slice40,Slice41,Slice42,Slice43,Slice44,Slice45,Slice46,Slice47,Slice48,Slice49,Slice50,Slice51,Slice52,Slice53,Slice54,Slice55,Slice56,Slice57,Slice58,Slice59,Slice60,Slice61,Slice62,Slice63,Slice64,Slice65,Slice66,Slice67,Slice68,Slice69,Slice70,Slice71,Slice72,Slice73,Slice74,Slice75,Slice76,Slice77,Slice78,Slice79,Slice80,Slice81,Slice82,Slice83,Slice84,Slice85,Slice86,Slice87,Slice88,Slice89,Slice90,Slice91,Slice92,Slice93,Slice94,Slice95,Slice96,Slice97,Slice98,Slice99,Slice100,Slice101,Slice102,Slice103,Slice104,Slice105,Slice106,Slice107,Slice108,Slice109,Slice110,Slice111,Slice112,Slice113,Slice114,Slice115,Slice116,Slice117,Slice118,Slice119,Slice120,Slice121,Slice122,Slice123
-89.500,0,11,3,0,6,7,0,6,6,0,4,4,11,58,6,0,0,5,0,19,0,4,15,0,0,8,23,2,8,4,0,7,0,12,0,0,9,2,9,1,0,29,5,31,6,22,21,7,12,0,10,0,13,19,0,7,3,6,6,9,24,0,0,0,0,0,1,0,6,3,0,5,0,0,0,13,3,10,0,0,0,0,11,0,0,0,0,1,0,2,4,2,8,2,0,2,0,8,7,0,7,0,2,0,11,11,0,0,2,16,0,4,26,0,0,6,0,0,2,8,7,0,0
-88.500,0,14,7,0,2,8,0,4,2,0,13,2,8,42,5,0,0,11,0,16,0,4,18,0,0,6,42,0,14,4,0,4,4,17,0,0,10,3,11,1,0,35,6,32,10,25,11,6,12,0,8,0,8,12,0,6,2,5,1,15,28,0,0,0,0,0,0,0,3,8,1,11,0,13,0,19,5,7,0,0,0,0,8,0,0,5,0,4,0,6,2,2,7,0,0,2,0,0,6,0,7,0,0,0,12,11,0,0,3,9,0,0,19,0,0,7,0,0,1,13,11,0,0
-87.500,0,11,8,0,4,9,0,2,2,0,1,5,3,56,7,0,0,17,0,20,0,4,15,0,0,4,30,0,6,0,0,15,3,14,0,0,12,3,13,1,0,33,9,30,9,13,13,7,13,0,12,0,25,7,0,10,2,5,5,12,29,0,0,0,0,0,1,0,0,12,3,17,0,2,0,16,4,13,0,0,0,0,1,0,0,0,0,1,0,3,4,6,11,2,0,1,0,0,13,0,5,0,0,0,17,22,0,0,7,14,0,0,17,3,0,10,2,0,1,10,5,0,0
-86.500,0,12,5,0,3,8,4,4,7,0,4,1,10,34,13,0,0,12,0,17,0,5,16,0,0,5,26,0,12,0,0,11,2,14,0,0,9,1,4,0,0,32,11,32,15,11,13,6,20,0,7,0,4,7,0,6,8,22,1,14,30,0,0,0,0,0,1,0,2,12,1,33,0,4,0,20,5,8,0,0,0,0,0,0,0,4,0,2,0,5,0,3,8,0,0,0,0,2,6,0,9,0,0,0,16,37,0,0,2,22,0,0,26,2,0,6,2,0,4,10,11,0,0
-85.500,0,17,9,0,3,11,4,3,3,0,7,0,6,32,20,0,0,30,0,23,0,8,10,0,0,4,18,0,8,4,0,24,6,12,0,0,13,0,12,0,0,54,7,48,13,22,14,13,14,0,15,0,8,9,0,4,4,19,4,24,41,0,0,0,0,0,1,0,3,14,1,22,0,10,0,16,4,10,0,0,0,3,0,0,0,2,0,1,0,6,3,7,12,3,0,3,0,6,11,0,10,0,0,0,15,25,0,0,3,21,0,0,53,1,0,12,0,0,2,8,10,0,0
-84.500,0,13,8,0,3,20,3,4,8,0,5,5,3,22,8,0,0,27,0,27,0,7,6,0,0,3,18,0,12,0,0,31,0,12,0,1,14,0,15,1,0,21,11,58,13,29,12,4,12,0,28,0,10,1,0,3,4,3,2,17,37,0,0,0,0,0,1,0,4,19,6,17,0,7,0,18,7,7,0,1,3,19,0,0,0,3,0,4,0,2,2,5,12,0,0,3,0,0,14,0,14,0,0,0,15,14,0,0,3,15,0,0,30,0,0,8,0,0,2,8,5,0,0
-83.500,0,13,10,9,3,14,7,8,1,0,3,2,4,19,8,0,0,50,0,36,0,8,8,0,0,4,19,2,10,3,0,41,6,12,2,0,14,0,25,1,0,15,10,59,9,48,14,10,17,0,94,0,5,5,0,3,4,2,7,15,36,0,0,0,0,0,3,0,2,23,2,14,0,5,0,22,32,14,0,1,0,21,0,0,0,1,0,4,0,6,3,5,12,0,0,2,0,0,20,0,10,0,0,0,14,11,0,0,4,15,0,0,21,4,0,8,0,0,2,11,8,0,0
-82.500,6,16,11,28,3,10,7,2,5,0,6,0,11,18,6,0,0,38,0,27,0,11,6,0,0,3,19,10,8,2,0,43,2,12,1,3,20,0,37,1,16,22,23,78,12,38,17,11,15,0,50,0,10,5,0,6,10,2,26,11,49,0,0,0,0,0,5,0,2,46,2,12,0,11,0,21,41,6,0,0,0,16,0,0,0,4,0,3,0,5,2,10,16,2,0,1,2,4,11,0,10,0,0,0,9,11,0,0,4,12,0,0,14,2,0,20,0,0,4,5,6,0,0
-81.500,0,15,10,25,2,12,4,2,6,0,4,3,5,9,5,0,0,42,0,16,0,11,14,0,0,1,15,9,8,0,0,34,5,11,4,2,12,0,24,0,13,18,22,49,10,27,17,10,20,0,29,0,6,3,0,2,6,3,20,12,25,0,0,0,0,0,4,0,1,94,6,11,0,14,0,26,39,16,0,1,4,17,0,0,0,2,0,4,0,4,3,13,19,1,0,2,1,4,10,0,14,0,0,0,9,7,0,0,4,11,0,0,17,3,0,10,0,0,2,11,7,0,0
-80.500,0,18,16,16,4,7,10,4,5,0,7,2,2,10,2,0,7,18,0,15,0,16,14,0,0,7,16,11,15,3,0,38,4,15,1,1,11,0,48,2,13,18,26,42,12,20,31,14,21,0,16,0,8,8,0,2,12,6,26,14,26,0,0,0,0,0,3,1,4,99,3,11,0,13,0,18,46,14,0,2,1,18,0,0,0,4,0,6,0,18,2,16,16,1,0,4,6,1,9,0,8,0,0,0,7,10,0,0,6,17,0,0,12,4,0,20,0,0,2,6,9,0,0
-79.500,3,17,15,24,1,10,11,7,7,0,4,1,7,11,4,0,8,14,0,16,0,20,12,0,0,0,15,11,5,2,0,40,6,7,5,3,15,0,42,0,13,22,37,34,10,18,30,14,14,0,15,0,6,6,0,1,9,12,33,12,18,0,0,0,0,0,3,2,3,43,8,6,0,16,0,16,49,11,0,5,0,25,0,0,0,3,0,4,0,36,3,10,18,1,0,2,10,0,5,0,11,0,0,0,6,5,0,0,7,26,0,0,9,3,0,7,0,0,4,10,3,0,0
